Belgrave Station (Belgrave),4:20,-,4:51,5:20,-,5:52,6:20,-,6:52,7:10,-,7:32,7:50,-,8:12,8:30,-,8:52,9:10,-,9:22,-,9:42,-,10:02,-,10:22,-,10:42,-,11:02,-,11:22,-,11:42,-,12:02,-,12:22,-,12:42,-,13:02,-,13:22,-,13:42,-,14:02,-,14:22,-,14:42,-,15:02,-,15:22,-,15:42,-,16:02,-,16:22,-,16:42,-,17:02,-,17:22,-,17:42,-,18:02,-,18:28,-,18:52,19:11,-,19:28,19:42,-,20:13,-,20:42,21:10,-,21:42,22:10,-,22:42,23:10,-,23:26,0:10
Tecoma Station (Tecoma),4:22,-,4:53,5:22,-,5:54,6:22,-,6:54,7:12,-,7:34,7:52,-,8:14,8:32,-,8:54,9:12,-,9:24,-,9:44,-,10:04,-,10:24,-,10:44,-,11:04,-,11:24,-,11:44,-,12:04,-,12:24,-,12:44,-,13:04,-,13:24,-,13:44,-,14:04,-,14:24,-,14:44,-,15:04,-,15:24,-,15:44,-,16:04,-,16:24,-,16:44,-,17:04,-,17:24,-,17:44,-,18:04,-,18:30,-,18:54,19:13,-,19:30,19:44,-,20:15,-,20:44,21:12,-,21:44,22:12,-,22:44,23:12,-,23:28,0:12
Upwey Station (Upwey),4:24,-,4:55,5:24,-,5:56,6:24,-,6:56,7:14,-,7:36,7:54,-,8:16,8:34,-,8:56,9:14,-,9:26,-,9:46,-,10:06,-,10:26,-,10:46,-,11:06,-,11:26,-,11:46,-,12:06,-,12:26,-,12:46,-,13:06,-,13:26,-,13:46,-,14:06,-,14:26,-,14:46,-,15:06,-,15:26,-,15:46,-,16:06,-,16:26,-,16:46,-,17:06,-,17:26,-,17:46,-,18:06,-,18:32,-,18:56,19:15,-,19:32,19:46,-,20:17,-,20:46,21:14,-,21:46,22:14,-,22:46,23:14,-,23:30,0:14
Upper Ferntree Gully Station (Upper Ferntree Gully),4:28,-,4:59,5:28,-,6:00,6:28,-,7:00,7:18,-,7:40,7:58,-,8:20,8:38,-,9:00,9:18,-,9:30,-,9:50,-,10:10,-,10:30,-,10:50,-,11:10,-,11:30,-,11:50,-,12:10,-,12:30,-,12:50,-,13:10,-,13:30,-,13:50,-,14:10,-,14:30,-,14:50,-,15:10,-,15:30,-,15:50,-,16:10,-,16:30,-,16:50,-,17:10,-,17:30,-,17:50,-,18:10,-,18:36,-,19:00,19:19,-,19:36,19:50,-,20:21,-,20:50,21:18,-,21:50,22:18,-,22:50,23:18,-,23:34,0:18
Upper Ferntree Gully Station (Upper Ferntree Gully),4:28,-,4:59,5:28,-,6:00,6:28,-,7:00,7:18,-,7:40,7:58,-,8:20,8:38,-,9:00,9:18,-,9:30,-,9:50,-,10:10,-,10:30,-,10:50,-,11:10,-,11:30,-,11:50,-,12:10,-,12:30,-,12:50,-,13:10,-,13:30,-,13:50,-,14:10,-,14:30,-,14:50,-,15:10,-,15:30,-,15:50,-,16:10,-,16:30,-,16:50,-,17:10,-,17:30,-,17:50,-,18:10,-,18:36,-,19:00,19:19,-,19:36,19:50,-,20:21,-,20:54,21:22,-,21:54,22:22,-,22:54,23:22,-,23:34,0:18
Ferntree Gully Station (Ferntree Gully),4:31,-,5:02,5:31,-,6:03,6:31,-,7:03,7:21,-,7:43,8:01,-,8:23,8:41,-,9:03,9:21,-,9:33,-,9:53,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:39,-,19:03,19:22,-,19:39,19:53,-,20:24,-,20:57,21:25,-,21:57,22:25,-,22:57,23:25,-,23:37,0:21
Boronia Station (Boronia),4:33,-,5:04,5:33,-,6:05,6:33,-,7:05,7:23,-,7:45,8:03,-,8:25,8:43,-,9:05,9:23,-,9:35,-,9:55,-,10:15,-,10:35,-,10:55,-,11:15,-,11:35,-,11:55,-,12:15,-,12:35,-,12:55,-,13:15,-,13:35,-,13:55,-,14:15,-,14:35,-,14:55,-,15:15,-,15:35,-,15:55,-,16:15,-,16:35,-,16:55,-,17:15,-,17:35,-,17:55,-,18:15,-,18:41,-,19:05,19:24,-,19:41,19:55,-,20:26,-,20:59,21:27,-,21:59,22:27,-,22:59,23:27,-,23:39,0:23
Bayswater Station (Bayswater),4:36,-,5:07,5:36,-,6:08,6:36,-,7:08,7:26,-,7:48,8:06,-,8:28,8:46,-,9:08,9:26,-,9:38,-,9:58,-,10:18,-,10:38,-,10:58,-,11:18,-,11:38,-,11:58,-,12:18,-,12:38,-,12:58,-,13:18,-,13:38,-,13:58,-,14:18,-,14:38,-,14:58,-,15:18,-,15:38,-,15:58,-,16:18,-,16:38,-,16:58,-,17:18,-,17:38,-,17:58,-,18:18,-,18:44,-,19:08,19:27,-,19:44,19:58,-,20:29,-,21:02,21:30,-,22:02,22:30,-,23:02,23:30,-,23:42,0:26
Heathmont Station (Heathmont),4:40,-,5:11,5:40,-,6:12,6:40,-,7:12,7:30,-,7:52,8:10,-,8:32,8:50,-,9:12,9:30,-,9:42,-,10:02,-,10:22,-,10:42,-,11:02,-,11:22,-,11:42,-,12:02,-,12:22,-,12:42,-,13:02,-,13:22,-,13:42,-,14:02,-,14:22,-,14:42,-,15:02,-,15:22,-,15:42,-,16:02,-,16:22,-,16:42,-,17:02,-,17:22,-,17:42,-,18:02,-,18:22,-,18:48,-,19:12,19:31,-,19:48,20:02,-,20:33,-,21:06,21:34,-,22:06,22:34,-,23:06,23:34,-,23:46,0:30
Ringwood Station (Ringwood),4:43,4:45,5:15,5:43,5:45,6:15,6:43,6:45,7:15,7:33,7:35,7:55,8:13,8:15,8:35,8:53,8:55,9:15,9:33,9:35,9:45,9:55,10:05,10:15,10:25,10:35,10:45,10:55,11:05,11:15,11:25,11:35,11:45,11:55,12:05,12:15,12:25,12:35,12:45,12:55,13:05,13:15,13:25,13:35,13:45,13:55,14:05,14:15,14:25,14:35,14:45,14:55,15:05,15:15,15:25,15:35,15:45,15:55,16:05,16:15,16:25,16:35,16:45,16:55,17:05,17:15,17:25,17:35,17:45,17:55,18:05,18:15,18:25,18:35,18:51,18:55,19:15,19:34,19:39,19:51,20:05,20:09,20:36,20:39,21:09,21:37,21:39,22:09,22:37,22:39,23:09,23:37,23:39,23:49,0:33
Heatherdale Station (Mitcham),-,4:47,5:17,-,5:47,6:17,-,6:47,7:18,-,7:38,7:58,-,8:18,8:38,-,8:58,9:18,-,9:38,9:48,9:58,10:08,10:18,10:28,10:38,10:48,10:58,11:08,11:18,11:28,11:38,11:48,11:58,12:08,12:18,12:28,12:38,12:48,12:58,13:08,13:18,13:28,13:38,13:48,13:58,14:08,14:18,14:28,14:38,14:48,14:58,15:08,15:18,15:28,15:38,15:48,15:58,16:08,16:18,16:28,16:38,16:48,16:58,17:08,17:18,17:28,17:38,17:48,17:58,18:08,18:18,18:28,18:38,-,18:57,19:17,-,19:41,-,-,20:11,-,20:41,21:11,-,21:41,22:11,-,22:41,23:11,-,23:41,-,-
Mitcham Station (Mitcham),-,4:49,5:19,-,5:49,6:19,-,6:49,7:20,-,7:40,8:00,-,8:20,8:40,-,9:00,9:20,-,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,-,18:59,19:19,-,19:43,-,-,20:13,-,20:43,21:13,-,21:43,22:13,-,22:43,23:13,-,23:43,-,-
Nunawading Station (Nunawading),-,4:51,5:21,-,5:51,6:21,-,6:51,7:22,-,7:42,8:02,-,8:22,8:42,-,9:02,9:22,-,9:42,9:52,10:02,10:12,10:22,10:32,10:42,10:52,11:02,11:12,11:22,11:32,11:42,11:52,12:02,12:12,12:22,12:32,12:42,12:52,13:02,13:12,13:22,13:32,13:42,13:52,14:02,14:12,14:22,14:32,14:42,14:52,15:02,15:12,15:22,15:32,15:42,15:52,16:02,16:12,16:22,16:32,16:42,16:52,17:02,17:12,17:22,17:32,17:42,17:52,18:02,18:12,18:22,18:32,18:42,-,19:01,19:21,-,19:45,-,-,20:15,-,20:45,21:15,-,21:45,22:15,-,22:45,23:15,-,23:45,-,-
