Southern Cross Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:03,13:23,13:43,14:03,14:23,14:43,15:03,-,15:22,-,15:42,-,16:02,-,16:22,-,-,-,-,17:01,-,-,17:21,-,-,17:41,-,-,18:02,18:13,18:22,-,-,18:56,-,-,20:09,-,-,-,22:08,-,-,-,0:08,-,-
Flagstaff Station (Melbourne City),-,-,5:26,5:47,6:05,6:23,6:41,7:01,7:19,7:28,7:36,7:48,7:55,8:00,8:07,8:12,8:24,8:31,8:43,8:48,9:07,9:25,9:39,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42, , , , , , , ,-, ,-, ,-, ,-, ,-,-,-,-, ,-,-, ,-,-, ,-,-, , , ,-,-, ,-,-, ,-,-,-, ,-,-,-, ,-,-
Melbourne Central Station (Melbourne City),-,-,5:28,5:49,6:07,6:25,6:43,7:03,7:21,7:30,7:38,7:50,7:57,8:02,8:09,8:14,8:26,8:33,8:45,8:50,9:09,9:27,9:41,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44, , , , , , , ,-, ,-, ,-, ,-, ,-,-,-,-, ,-,-, ,-,-, ,-,-, , , ,-,-, ,-,-, ,-,-,-, ,-,-,-, ,-,-
Parliament Station (Melbourne City),-,-,5:30,5:51,6:09,6:27,6:45,7:05,7:23,7:32,7:40,7:52,7:59,8:04,8:11,8:16,8:28,8:35,8:47,8:52,9:11,9:29,9:43,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46, , , , , , , ,-, ,-, ,-, ,-, ,-,-,-,-, ,-,-, ,-,-, ,-,-, , , ,-,-, ,-,-, ,-,-,-, ,-,-,-, ,-,-
Flinders Street Station (Melbourne City),-,-,5:33,5:54,6:12,6:30,6:48,7:08,7:26,7:35,7:44,7:56,8:02,8:08,8:14,8:20,8:32,8:38,8:50,8:56,9:14,9:32,9:46,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:07,13:27,13:47,14:07,14:27,14:47,15:07,-,15:27,-,15:47,-,16:07,-,16:27,-,-,-,-,17:07,-,-,17:27,-,-,17:47,-,-,18:07,18:19,18:27,-,-,19:00,-,-,20:13,-,-,-,22:12,-,-,-,0:12,-,-
Flinders Street Station (Melbourne City),5:03,5:21,5:39,5:57,6:15,6:33,6:51,7:08,7:26,7:35,7:44,7:56,8:02,8:08,8:14,8:20,8:32,8:38,8:50,8:56,9:14,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:19,15:27,15:39,15:47,15:59,16:07,16:19,16:27,16:39,16:47,16:53,16:59,17:07,17:13,17:19,17:27,17:33,17:39,17:47,17:53,17:59,18:07,18:19,18:27,18:39,18:47,19:07,19:27,19:47,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,0:20,0:42,1:12
Southern Cross Station (Melbourne City),5:06,5:24,5:42,6:00,6:18,6:36,6:54,7:12,7:30,7:39,7:48,8:00,8:06,8:12,8:18,8:24,8:36,8:42,8:54,9:00,9:18,9:36,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0:45,1:15
Parliament Station (Melbourne City), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:21,15:29,15:41,15:49,16:01,16:09,16:21,16:29,16:41,16:49,16:55,17:01,17:09,17:15,17:21,17:29,17:35,17:41,17:49,17:55,18:01,18:09,18:21,18:29,18:41,18:49,19:09,19:29,19:49,20:22,20:52,21:22,21:52,22:22,22:52,23:22,23:52,0:22, , 
Melbourne Central Station (Melbourne City), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:23,15:31,15:43,15:51,16:03,16:11,16:23,16:31,16:43,16:51,16:57,17:03,17:11,17:17,17:23,17:31,17:37,17:43,17:51,17:57,18:03,18:11,18:23,18:31,18:43,18:51,19:11,19:31,19:51,20:24,20:54,21:24,21:54,22:24,22:54,23:24,23:54,0:24, , 
Flagstaff Station (Melbourne City), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:25,15:33,15:45,15:53,16:05,16:13,16:25,16:33,16:45,16:53,16:59,17:05,17:13,17:19,17:25,17:33,17:39,17:45,17:53,17:59,18:05,18:13,18:25,18:33,18:45,18:53,19:13,19:33,19:53,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56,0:26, , 
North Melbourne Station (West Melbourne),5:10,5:28,5:46,6:04,6:22,6:40,6:58,7:16,7:34,7:43,7:52,8:04,8:11,8:16,8:23,8:28,8:40,8:46,8:58,9:04,9:22,9:40,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:59,15:19,15:29,15:37,15:49,15:57,16:09,16:17,16:29,16:37,16:49,16:57,17:03,17:09,17:17,17:23,17:29,17:37,17:43,17:49,17:57,18:03,18:09,18:17,18:29,18:37,18:49,18:57,19:17,19:37,19:57,20:29,20:59,21:29,21:59,22:29,22:59,23:29,23:59,0:29,0:49,1:19
Kensington Station (Kensington),5:12,5:30,5:48,6:06,6:24,6:42,7:00,7:18,7:36,7:45,7:54,8:06,8:13,8:18,8:25,8:30,8:42,8:48,9:00,9:06,9:24,9:42,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:32,15:40,15:52,16:00,16:12,16:20,16:32,16:40,16:52,17:00,17:07,17:12,17:20,17:26,17:32,17:40,17:46,17:52,18:00,18:06,18:12,18:20,18:32,18:40,18:52,19:00,19:20,19:40,20:00,20:31,21:01,21:31,22:01,22:31,23:01,23:31,0:01,0:31,0:51,1:21
Newmarket Station (Flemington),5:14,5:32,5:50,6:08,6:26,6:44,7:02,7:20,7:38,7:47,7:56,8:08,8:15,8:20,8:27,8:32,8:44,8:50,9:02,9:08,9:26,9:44,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:34,15:42,15:54,16:02,16:14,16:22,16:34,16:42,16:54,17:02,17:09,17:14,17:22,17:28,17:34,17:42,17:48,17:54,18:02,18:08,18:14,18:22,18:34,18:42,18:54,19:02,19:22,19:42,20:02,20:33,21:03,21:33,22:03,22:33,23:03,23:33,0:03,0:33,0:53,1:23
Ascot Vale Station (Ascot Vale),5:16,5:34,5:52,6:10,6:28,6:46,7:04,7:22,7:40,7:49,7:58,8:10,8:17,8:22,8:29,8:34,8:46,8:52,9:04,9:10,9:28,9:46,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:36,15:44,15:56,16:04,16:16,16:24,16:36,16:44,16:56,17:04,17:11,17:16,17:24,17:30,17:36,17:44,17:50,17:56,18:04,18:10,18:16,18:24,18:36,18:44,18:56,19:04,19:24,19:44,20:04,20:35,21:05,21:35,22:05,22:35,23:05,23:35,0:05,0:35,0:55,1:25
Moonee Ponds Station (Moonee Ponds),5:18,5:36,5:54,6:12,6:30,6:48,7:06,7:24,7:42,7:51,8:00,8:12,8:19,8:24,8:31,8:36,8:48,8:54,9:06,9:12,9:30,9:48,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:38,15:46,15:58,16:06,16:18,16:26,16:38,16:46,16:58,17:06,17:13,17:18,17:26,17:32,17:38,17:46,17:52,17:58,18:06,18:12,18:18,18:26,18:38,18:46,18:58,19:06,19:26,19:46,20:06,20:37,21:07,21:37,22:07,22:37,23:07,23:37,0:07,0:37,0:57,1:27
Essendon Station (Essendon),5:20,5:38,5:56,6:14,6:32,6:50,7:08,7:26,7:44,7:53,8:02,8:14,8:21,8:26,8:33,8:38,8:50,8:56,9:08,9:14,9:32,9:50,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:40,15:48,16:00,16:08,16:20,16:28,16:40,16:48,17:00,17:08,17:15,17:20,17:28,17:34,17:40,17:48,17:54,18:00,18:08,18:14,18:20,18:28,18:40,18:48,19:00,19:08,19:28,19:48,20:08,20:39,21:09,21:39,22:09,22:39,23:09,23:39,0:09,0:39,0:59,1:29
Glenbervie Station (Essendon),5:22,5:40,5:58,6:16,6:34,6:52,7:10,7:28,7:46,7:55,8:04,8:16,8:23,8:28,8:35,8:40,8:52,8:58,9:10,9:16,9:34,9:52,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:31,15:42,15:50,16:02,16:10,16:22,16:30,16:42,16:50,17:02,17:10,17:17,17:22,17:30,17:36,17:42,17:50,17:56,18:02,18:10,18:16,18:22,18:30,18:42,18:50,19:02,19:10,19:30,19:50,20:10,20:41,21:11,21:41,22:11,22:41,23:11,23:41,0:11,0:41,1:01,1:31
Strathmore Station (Essendon),5:24,5:42,6:00,6:18,6:36,6:54,7:12,7:30,7:48,7:57,8:06,8:18,8:25,8:30,8:37,8:42,8:54,9:00,9:12,9:18,9:36,9:54,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:33,15:44,15:52,16:04,16:12,16:24,16:32,16:44,16:52,17:04,17:12,17:19,17:24,17:32,17:38,17:44,17:52,17:58,18:04,18:12,18:18,18:24,18:32,18:44,18:52,19:04,19:12,19:32,19:52,20:12,20:43,21:13,21:43,22:13,22:43,23:13,23:43,0:13,0:43,1:03,1:33
Pascoe Vale Station (Pascoe Vale),5:26,5:44,6:02,6:20,6:38,6:56,7:14,7:32,7:50,7:59,8:08,8:20,8:27,8:32,8:39,8:44,8:56,9:02,9:14,9:20,9:38,9:56,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:46,15:54,16:06,16:14,16:26,16:34,16:46,16:54,17:06,17:14,17:21,17:26,17:34,17:40,17:46,17:54,18:00,18:06,18:14,18:20,18:26,18:34,18:46,18:54,19:06,19:14,19:34,19:54,20:14,20:45,21:15,21:45,22:15,22:45,23:15,23:45,0:15,0:45,1:05,1:35
Oak Park Station (Oak Park),5:29,5:47,6:05,6:23,6:41,6:59,7:17,7:35,7:53,8:02,8:11,8:23,8:30,8:35,8:42,8:47,8:59,9:05,9:17,9:23,9:41,9:59,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:49,15:57,16:09,16:17,16:29,16:37,16:49,16:57,17:09,17:17,17:24,17:29,17:37,17:43,17:49,17:57,18:03,18:09,18:17,18:23,18:29,18:37,18:49,18:57,19:09,19:17,19:37,19:57,20:17,20:48,21:18,21:48,22:18,22:48,23:18,23:48,0:18,0:48,1:08,1:38
Glenroy Station (Glenroy),5:31,5:49,6:07,6:25,6:43,7:01,7:19,7:37,7:55,8:04,8:13,8:25,8:32,8:37,8:44,8:49,9:01,9:07,9:19,9:25,9:43,10:01,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,15:51,15:59,16:11,16:19,16:31,16:39,16:51,16:59,17:11,17:19,17:26,17:31,17:39,17:45,17:51,17:59,18:05,18:11,18:19,18:25,18:31,18:39,18:51,18:59,19:11,19:19,19:39,19:59,20:19,20:50,21:20,21:50,22:20,22:50,23:20,23:50,0:20,0:50,1:10,1:40
Jacana Station (Glenroy),5:33,5:51,6:09,6:27,6:45,7:03,7:21,7:39,7:57,8:06,8:15,8:27,8:34,8:39,8:46,8:51,9:03,9:09,9:21,9:27,9:45,10:03,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,15:53,16:01,16:13,16:21,16:33,16:41,16:53,17:01,17:13,17:21,17:28,17:33,17:41,17:47,17:53,18:01,18:07,18:13,18:21,18:27,18:33,18:41,18:53,19:01,19:13,19:21,19:41,20:01,20:21,20:52,21:22,21:52,22:22,22:52,23:22,23:52,0:22,0:52,1:12,1:42
Broadmeadows Station (Broadmeadows),5:35,5:53,6:11,6:29,6:47,7:05,7:23,7:41,7:59,8:08,8:17,8:29,8:36,8:41,8:48,8:53,9:05,9:11,9:23,9:29,9:47,10:05,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,15:04,15:24,15:44,15:56,16:03,16:16,16:23,16:36,16:43,16:56,17:03,17:15,17:23,17:30,17:36,17:43,17:49,17:55,18:03,18:09,18:15,18:23,18:29,18:35,18:43,18:55,19:03,19:15,19:23,19:43,20:03,20:23,20:54,21:24,21:54,22:24,22:54,23:24,23:54,0:24,0:54,1:14,1:44
