Frankston Station (Frankston),6:44,-,7:14,-,7:44,-,8:14,-,8:44,-,9:04,-,9:24,-,9:34,-,9:44,-,9:54,-,10:04,-,10:14,-,10:24,-,10:34,-,10:44,-,10:54,-,11:04,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,18:07,-,18:27,-,18:47,-,19:09,-,-,19:41,-,20:11,-,20:41,-,21:11,-,21:41,-,22:11,-,22:41,-,23:02
Kananook Station (Seaford),6:47,-,7:17,-,7:47,-,8:17,-,8:47,-,9:07,-,9:27,-,9:37,-,9:47,-,9:57,-,10:07,-,10:17,-,10:27,-,10:37,-,10:47,-,10:57,-,11:07,-,11:17,-,11:27,-,11:37,-,11:47,-,11:57,-,12:07,-,12:17,-,12:27,-,12:37,-,12:47,-,12:57,-,13:07,-,13:17,-,13:27,-,13:37,-,13:47,-,13:57,-,14:07,-,14:17,-,14:27,-,14:37,-,14:47,-,14:57,-,15:07,-,15:17,-,15:27,-,15:37,-,15:47,-,15:57,-,16:07,-,16:17,-,16:27,-,16:37,-,16:47,-,16:57,-,17:07,-,17:17,-,17:27,-,17:37,-,17:47,-,17:57,18:10,-,18:30,-,18:50,-,19:12,-,-,19:44,-,20:14,-,20:44,-,21:14,-,21:44,-,22:14,-,22:44,-,23:05
Seaford Station (Seaford),6:49,-,7:19,-,7:49,-,8:19,-,8:49,-,9:09,-,9:29,-,9:39,-,9:49,-,9:59,-,10:09,-,10:19,-,10:29,-,10:39,-,10:49,-,10:59,-,11:09,-,11:19,-,11:29,-,11:39,-,11:49,-,11:59,-,12:09,-,12:19,-,12:29,-,12:39,-,12:49,-,12:59,-,13:09,-,13:19,-,13:29,-,13:39,-,13:49,-,13:59,-,14:09,-,14:19,-,14:29,-,14:39,-,14:49,-,14:59,-,15:09,-,15:19,-,15:29,-,15:39,-,15:49,-,15:59,-,16:09,-,16:19,-,16:29,-,16:39,-,16:49,-,16:59,-,17:09,-,17:19,-,17:29,-,17:39,-,17:49,-,17:59,18:12,-,18:32,-,18:52,-,19:14,-,-,19:46,-,20:16,-,20:46,-,21:16,-,21:46,-,22:16,-,22:46,-,23:07
Carrum Station (Carrum),6:53,-,7:23,-,7:53,-,8:23,-,8:53,-,9:13,-,9:33,-,9:43,-,9:53,-,10:03,-,10:13,-,10:23,-,10:33,-,10:43,-,10:53,-,11:03,-,11:13,-,11:23,-,11:33,-,11:43,-,11:53,-,12:03,-,12:13,-,12:23,-,12:33,-,12:43,-,12:53,-,13:03,-,13:13,-,13:23,-,13:33,-,13:43,-,13:53,-,14:03,-,14:13,-,14:23,-,14:33,-,14:43,-,14:53,-,15:03,-,15:13,-,15:23,-,15:33,-,15:43,-,15:53,-,16:03,-,16:13,-,16:23,-,16:33,-,16:43,-,16:53,-,17:03,-,17:13,-,17:23,-,17:33,-,17:43,-,17:53,-,18:03,18:16,-,18:36,-,18:56,-,19:18,-,-,19:50,-,20:20,-,20:50,-,21:20,-,21:50,-,22:20,-,22:50,-,23:11
Bonbeach Station (Bonbeach),6:55,-,7:25,-,7:55,-,8:25,-,8:55,-,9:15,-,9:35,-,9:45,-,9:55,-,10:05,-,10:15,-,10:25,-,10:35,-,10:45,-,10:55,-,11:05,-,11:15,-,11:25,-,11:35,-,11:45,-,11:55,-,12:05,-,12:15,-,12:25,-,12:35,-,12:45,-,12:55,-,13:05,-,13:15,-,13:25,-,13:35,-,13:45,-,13:55,-,14:05,-,14:15,-,14:25,-,14:35,-,14:45,-,14:55,-,15:05,-,15:15,-,15:25,-,15:35,-,15:45,-,15:55,-,16:05,-,16:15,-,16:25,-,16:35,-,16:45,-,16:55,-,17:05,-,17:15,-,17:25,-,17:35,-,17:45,-,17:55,-,18:05,18:18,-,18:38,-,18:58,-,19:20,-,-,19:52,-,20:22,-,20:52,-,21:22,-,21:52,-,22:22,-,22:52,-,23:13
Chelsea Station (Chelsea),6:57,-,7:27,-,7:57,-,8:27,-,8:57,-,9:17,-,9:37,-,9:47,-,9:57,-,10:07,-,10:17,-,10:27,-,10:37,-,10:47,-,10:57,-,11:07,-,11:17,-,11:27,-,11:37,-,11:47,-,11:57,-,12:07,-,12:17,-,12:27,-,12:37,-,12:47,-,12:57,-,13:07,-,13:17,-,13:27,-,13:37,-,13:47,-,13:57,-,14:07,-,14:17,-,14:27,-,14:37,-,14:47,-,14:57,-,15:07,-,15:17,-,15:27,-,15:37,-,15:47,-,15:57,-,16:07,-,16:17,-,16:27,-,16:37,-,16:47,-,16:57,-,17:07,-,17:17,-,17:27,-,17:37,-,17:47,-,17:57,-,18:07,18:20,-,18:40,-,19:00,-,19:22,-,-,19:54,-,20:24,-,20:54,-,21:24,-,21:54,-,22:24,-,22:54,-,23:15
Edithvale Station (Edithvale),6:59,-,7:29,-,7:59,-,8:29,-,8:59,-,9:19,-,9:39,-,9:49,-,9:59,-,10:09,-,10:19,-,10:29,-,10:39,-,10:49,-,10:59,-,11:09,-,11:19,-,11:29,-,11:39,-,11:49,-,11:59,-,12:09,-,12:19,-,12:29,-,12:39,-,12:49,-,12:59,-,13:09,-,13:19,-,13:29,-,13:39,-,13:49,-,13:59,-,14:09,-,14:19,-,14:29,-,14:39,-,14:49,-,14:59,-,15:09,-,15:19,-,15:29,-,15:39,-,15:49,-,15:59,-,16:09,-,16:19,-,16:29,-,16:39,-,16:49,-,16:59,-,17:09,-,17:19,-,17:29,-,17:39,-,17:49,-,17:59,-,18:09,18:22,-,18:42,-,19:02,-,19:24,-,-,19:56,-,20:26,-,20:56,-,21:26,-,21:56,-,22:26,-,22:56,-,23:17
Aspendale Station (Aspendale),7:01,-,7:31,-,8:01,-,8:31,-,9:01,-,9:21,-,9:41,-,9:51,-,10:01,-,10:11,-,10:21,-,10:31,-,10:41,-,10:51,-,11:01,-,11:11,-,11:21,-,11:31,-,11:41,-,11:51,-,12:01,-,12:11,-,12:21,-,12:31,-,12:41,-,12:51,-,13:01,-,13:11,-,13:21,-,13:31,-,13:41,-,13:51,-,14:01,-,14:11,-,14:21,-,14:31,-,14:41,-,14:51,-,15:01,-,15:11,-,15:21,-,15:31,-,15:41,-,15:51,-,16:01,-,16:11,-,16:21,-,16:31,-,16:41,-,16:51,-,17:01,-,17:11,-,17:21,-,17:31,-,17:41,-,17:51,-,18:01,-,18:11,18:24,-,18:44,-,19:04,-,19:26,-,-,19:58,-,20:28,-,20:58,-,21:28,-,21:58,-,22:28,-,22:58,-,23:19
Mordialloc Station (Mordialloc),7:04,-,7:34,-,8:04,-,8:34,-,9:04,-,9:24,-,9:44,-,9:54,-,10:04,-,10:14,-,10:24,-,10:34,-,10:44,-,10:54,-,11:04,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,-,18:04,-,18:14,18:27,-,18:47,-,19:07,-,19:29,-,-,20:01,-,20:31,-,21:01,-,21:31,-,22:01,-,22:31,-,23:01,-,23:22
Parkdale Station (Parkdale),7:07,-,7:37,-,8:07,-,8:37,-,9:07,-,9:27,-,9:47,-,9:57,-,10:07,-,10:17,-,10:27,-,10:37,-,10:47,-,10:57,-,11:07,-,11:17,-,11:27,-,11:37,-,11:47,-,11:57,-,12:07,-,12:17,-,12:27,-,12:37,-,12:47,-,12:57,-,13:07,-,13:17,-,13:27,-,13:37,-,13:47,-,13:57,-,14:07,-,14:17,-,14:27,-,14:37,-,14:47,-,14:57,-,15:07,-,15:17,-,15:27,-,15:37,-,15:47,-,15:57,-,16:07,-,16:17,-,16:27,-,16:37,-,16:47,-,16:57,-,17:07,-,17:17,-,17:27,-,17:37,-,17:47,-,17:57,-,18:07,-,18:17,18:30,-,18:50,-,19:10,-,19:32,-,-,20:03,-,20:33,-,21:03,-,21:33,-,22:03,-,22:33,-,23:03,-,23:24
Mentone Station (Mentone),7:09,-,7:39,-,8:09,-,8:39,-,9:09,-,9:29,-,9:49,-,9:59,-,10:09,-,10:19,-,10:29,-,10:39,-,10:49,-,10:59,-,11:09,-,11:19,-,11:29,-,11:39,-,11:49,-,11:59,-,12:09,-,12:19,-,12:29,-,12:39,-,12:49,-,12:59,-,13:09,-,13:19,-,13:29,-,13:39,-,13:49,-,13:59,-,14:09,-,14:19,-,14:29,-,14:39,-,14:49,-,14:59,-,15:09,-,15:19,-,15:29,-,15:39,-,15:49,-,15:59,-,16:09,-,16:19,-,16:29,-,16:39,-,16:49,-,16:59,-,17:09,-,17:19,-,17:29,-,17:39,-,17:49,-,17:59,-,18:09,-,18:19,18:32,-,18:52,-,19:12,-,19:34,-,-,20:05,-,20:35,-,21:05,-,21:35,-,22:05,-,22:35,-,23:05,-,23:26
Cheltenham Station (Cheltenham),7:12,-,7:42,-,8:12,-,8:42,-,9:12,-,9:32,-,9:52,-,10:02,-,10:12,-,10:22,-,10:32,-,10:42,-,10:52,-,11:02,-,11:12,-,11:22,-,11:32,-,11:42,-,11:52,-,12:02,-,12:12,-,12:22,-,12:32,-,12:42,-,12:52,-,13:02,-,13:12,-,13:22,-,13:32,-,13:42,-,13:52,-,14:02,-,14:12,-,14:22,-,14:32,-,14:42,-,14:52,-,15:02,-,15:12,-,15:22,-,15:32,-,15:42,-,15:52,-,16:02,-,16:12,-,16:22,-,16:32,-,16:42,-,16:52,-,17:02,-,17:12,-,17:22,-,17:32,-,17:42,-,17:52,-,18:02,-,18:12,-,18:22,18:35,-,18:55,-,19:15,-,19:37,-,-,20:08,-,20:38,-,21:08,-,21:38,-,22:08,-,22:38,-,23:08,-,23:29
