Flinders Street Station (Melbourne City),7:59,8:29,8:59,9:29,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:59,15:19,15:39,15:59,16:19,16:39,16:59,17:19,17:39,17:59,18:19,18:39,18:59,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
Southern Cross Station (Melbourne City),8:02,8:32,9:02,9:32,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,16:02,16:22,16:42,17:02,17:22,17:42,18:02,18:22,18:42,19:02,19:33,20:03,20:33,21:03,21:33,22:03,22:33,23:03,23:33,0:03
Melbourne Central Station (Melbourne City),8:05,8:35,9:05,9:35,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:36,20:06,20:36,21:06,21:36,22:06,22:36,23:06,23:36,0:06
Parliament Station (Melbourne City),8:08,8:38,9:08,9:38,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:08,19:39,20:09,20:39,21:09,21:39,22:09,22:39,23:09,23:39,0:09
Richmond Station (Richmond),8:11,8:41,9:11,9:41,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:31,18:51,19:11,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:12,23:42,0:12
East Richmond Station (Richmond),8:13,8:43,9:13,9:43,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:33,18:53,19:13,19:44,20:14,20:44,21:14,21:44,22:14,22:44,23:14,23:44,0:14
Burnley Station (Burnley),8:15,8:45,9:15,9:45,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,0:16
Heyington Station (Toorak),8:17,8:47,9:17,9:47,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:37,18:57,19:17,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,0:18
Heyington Station (Toorak),8:17,8:47,9:17,9:47,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:37,18:57,19:17,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,0:18
Kooyong Station (Kooyong),8:20,8:50,9:20,9:50,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:51,20:21,20:51,21:21,21:51,22:21,22:51,23:21,23:51,0:21
