Glen Waverley Station (Glen Waverley),4:57,-,5:27,5:57,6:12,6:27,6:39,6:54,7:07,7:19,7:26,7:33,7:40,7:47,7:54,8:01,8:08,8:15,8:22,8:32,8:40,8:51,9:02,9:17,9:32,9:47,10:02,10:17,10:32,10:47,11:02,11:17,11:32,11:47,12:02,12:17,12:32,12:47,13:02,13:17,13:32,13:47,14:02,14:17,14:32,14:47,15:02,15:17,15:32,15:44,15:56,16:11,16:26,16:40,16:56,17:09,17:19,17:30,17:42,17:56,18:05,18:11,18:30,18:40,18:50,19:10,19:32,19:51,20:11,20:28,20:58,21:28,21:58,22:28,22:58,23:28,23:48
Syndal Station (Glen Waverley),4:59,-,5:29,5:59,6:14,6:29,6:41,6:56,7:09,7:21,7:28,7:35,7:42,7:49,7:56,8:03,8:10,8:17,8:24,8:34,8:42,8:53,9:04,9:19,9:34,9:49,10:04,10:19,10:34,10:49,11:04,11:19,11:34,11:49,12:04,12:19,12:34,12:49,13:04,13:19,13:34,13:49,14:04,14:19,14:34,14:49,15:04,15:19,15:34,15:46,15:58,16:13,16:28,16:42,16:58,17:11,17:21,17:32,17:44,17:58,18:07,18:13,18:32,18:42,18:52,19:12,19:34,19:53,20:13,20:30,21:00,21:30,22:00,22:30,23:00,23:30,23:50
Mount Waverley Station (Mount Waverley),5:02,-,5:32,6:02,6:17,6:32,6:44,6:59,7:12,7:24,7:31,7:38,7:45,7:52,7:59,8:06,8:13,8:20,8:27,8:37,8:45,8:56,9:07,9:22,9:37,9:52,10:07,10:22,10:37,10:52,11:07,11:22,11:37,11:52,12:07,12:22,12:37,12:52,13:07,13:22,13:37,13:52,14:07,14:22,14:37,14:52,15:07,15:22,15:37,15:49,16:01,16:16,16:31,16:45,17:01,17:14,17:24,17:35,17:47,18:01,18:10,18:16,18:35,18:45,18:55,19:15,19:37,19:56,20:16,20:33,21:03,21:33,22:03,22:33,23:03,23:33,23:53
Jordanville Station (Mount Waverley),5:04,-,5:34,6:04,6:19,6:34,6:46,7:01,7:14,7:26,7:33,7:40,7:47,7:54,8:01,8:08,8:15,8:22,8:29,8:39,8:47,8:58,9:09,9:24,9:39,9:54,10:09,10:24,10:39,10:54,11:09,11:24,11:39,11:54,12:09,12:24,12:39,12:54,13:09,13:24,13:39,13:54,14:09,14:24,14:39,14:54,15:09,15:24,15:39,15:51,16:03,16:18,16:33,16:47,17:03,17:16,17:26,17:37,17:49,18:03,18:12,18:18,18:37,18:47,18:57,19:17,19:39,19:58,20:18,20:35,21:05,21:35,22:05,22:35,23:05,23:35,23:55
Holmesglen Station (Malvern East),5:06,-,5:36,6:06,6:21,6:36,6:48,7:03,7:16,7:28,7:35,7:42,7:49,7:56,8:03,8:10,8:17,8:24,8:31,8:41,8:49,9:00,9:11,9:26,9:41,9:56,10:11,10:26,10:41,10:56,11:11,11:26,11:41,11:56,12:11,12:26,12:41,12:56,13:11,13:26,13:41,13:56,14:11,14:26,14:41,14:56,15:11,15:26,15:41,15:53,16:05,16:20,16:35,16:49,17:05,17:18,17:28,17:39,17:51,18:05,18:14,18:20,18:39,18:49,18:59,19:19,19:41,20:00,20:20,20:37,21:07,21:37,22:07,22:37,23:07,23:37,23:57
East Malvern Station (Malvern East),5:09,-,5:39,6:09,6:24,6:39,6:51,7:06,7:19,7:31,7:38,7:45,7:52,7:59,8:06,8:13,8:20,8:27,8:34,8:44,8:52,9:03,9:14,9:29,9:44,9:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:14,12:29,12:44,12:59,13:14,13:29,13:44,13:59,14:14,14:29,14:44,14:59,15:14,15:29,15:44,15:56,16:08,16:23,16:38,16:52,17:08,17:21,17:31,17:42,17:54,18:08,18:17,18:23,18:42,18:52,19:02,19:22,19:44,20:02,20:22,20:39,21:09,21:39,22:09,22:39,23:09,23:39,23:59
Darling Station (Malvern East),5:11,-,5:41,6:11,6:26,6:41,6:53,7:08,7:21,7:33,7:40,7:47,7:54,8:01,8:08,8:15,8:22,8:29,8:36,8:46,8:54,9:05,9:16,9:31,9:46,10:01,10:16,10:31,10:46,11:01,11:16,11:31,11:46,12:01,12:16,12:31,12:46,13:01,13:16,13:31,13:46,14:01,14:16,14:31,14:46,15:01,15:16,15:31,15:46,15:58,16:10,16:25,16:40,16:54,17:10,17:23,17:33,17:44,17:56,18:10,18:19,18:25,18:44,18:54,19:04,19:24,19:46,20:04,20:24,20:41,21:11,21:41,22:11,22:41,23:11,23:41,0:01
Glen Iris Station (Glen Iris),5:13,-,5:43,6:13,6:28,6:43,6:55,7:10,7:23,7:35,7:42,7:49,7:56,8:03,8:10,8:17,8:24,8:31,8:38,8:48,8:56,9:07,9:18,9:33,9:48,10:03,10:18,10:33,10:48,11:03,11:18,11:33,11:48,12:03,12:18,12:33,12:48,13:03,13:18,13:33,13:48,14:03,14:18,14:33,14:48,15:03,15:18,15:33,15:48,16:00,16:12,16:27,16:42,16:56,17:12,17:25,17:35,17:46,17:58,18:12,|,18:27,18:46,18:56,19:06,19:26,19:48,20:06,20:26,20:43,21:13,21:43,22:13,22:43,23:13,23:43,0:03
Gardiner Station (Glen Iris),5:15,-,5:45,6:15,6:30,6:45,6:57,7:12,7:25,7:37,7:44,7:51,7:58,8:05,8:12,8:19,8:26,8:33,8:40,8:50,8:58,9:09,9:20,9:35,9:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:05,13:20,13:35,13:50,14:05,14:20,14:35,14:50,15:05,15:20,15:35,15:50,16:02,16:14,16:29,16:44,16:58,17:14,17:27,17:37,17:48,18:00,18:14,|,18:29,18:48,18:58,19:08,19:28,19:50,20:08,20:28,20:45,21:15,21:45,22:15,22:45,23:15,23:45,0:05
Tooronga Station (Malvern),5:17,-,5:47,6:17,6:32,6:47,6:59,7:14,7:27,7:39,7:46,7:53,8:00,8:07,8:14,8:21,8:28,8:35,8:42,8:52,9:00,9:11,9:22,9:37,9:52,10:07,10:22,10:37,10:52,11:07,11:22,11:37,11:52,12:07,12:22,12:37,12:52,13:07,13:22,13:37,13:52,14:07,14:22,14:37,14:52,15:07,15:22,15:37,15:52,16:04,16:16,16:31,16:46,17:00,17:16,17:29,17:39,17:50,18:02,18:16,|,18:31,18:50,19:00,19:10,19:30,19:52,20:10,20:30,20:47,21:17,21:47,22:17,22:47,23:17,23:47,0:07
Kooyong Station (Kooyong),5:19,-,5:49,6:19,6:34,6:49,7:01,7:16,7:29,7:41,7:48,7:55,8:02,8:09,8:16,8:23,8:30,8:37,8:44,8:54,9:02,9:13,9:24,9:39,9:54,10:09,10:24,10:39,10:54,11:09,11:24,11:39,11:54,12:09,12:24,12:39,12:54,13:09,13:24,13:39,13:54,14:09,14:24,14:39,14:54,15:09,15:24,15:39,15:54,16:06,16:18,16:33,16:48,17:02,17:18,17:31,17:41,17:52,18:04,18:18,|,18:33,18:52,19:02,19:12,19:32,19:54,20:12,20:32,20:49,21:19,21:49,22:19,22:49,23:19,23:49,0:09
Heyington Station (Toorak),5:21,-,5:51,6:21,6:36,6:51,7:03,7:18,7:31,7:43,7:50,7:57,8:04,8:11,8:18,8:25,8:32,8:39,8:46,8:56,9:04,9:15,9:26,9:41,9:56,10:11,10:26,10:41,10:56,11:11,11:26,11:41,11:56,12:11,12:26,12:41,12:56,13:11,13:26,13:41,13:56,14:11,14:26,14:41,14:56,15:11,15:26,15:41,15:56,16:08,16:20,16:35,16:50,17:04,17:20,17:33,17:43,17:54,18:06,18:20,|,18:35,18:54,19:04,19:14,19:34,19:56,20:14,20:34,20:51,21:21,21:51,22:21,22:51,23:21,23:51,0:11
Burnley Station (Burnley),5:24,5:27,5:54,6:24,6:39,6:54,7:06,7:21,7:34,7:46,7:53,8:00,8:07,8:14,8:21,8:28,8:35,8:42,8:49,8:59,9:07,9:18,9:29,9:44,9:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:14,12:29,12:44,12:59,13:14,13:29,13:44,13:59,14:14,14:29,14:44,14:59,15:14,15:29,15:44,15:59,16:11,16:23,16:38,16:53,17:07,17:23,17:36,17:46,17:57,18:09,18:23,|,18:38,18:57,19:07,19:17,19:37,19:59,20:17,20:37,20:54,21:24,21:54,22:24,22:54,23:24,23:54,0:14
East Richmond Station (Richmond),5:26,5:29,5:56,6:26,6:41,6:56,7:08,7:23,7:36,7:48,7:55,8:02,8:09,8:16,8:23,8:30,8:37,8:44,8:51,|,9:09,9:20,9:31,9:46,10:01,10:16,10:31,10:46,11:01,11:16,11:31,11:46,12:01,12:16,12:31,12:46,13:01,13:16,13:31,13:46,14:01,14:16,14:32,14:46,15:01,15:16,15:31,15:46,16:01,16:13,16:26,16:40,16:55,17:09,17:25,17:38,17:48,17:59,18:11,18:25,|,18:40,18:59,19:09,19:19,19:39,20:01,20:19,20:39,20:56,21:26,21:56,22:26,22:56,23:26,23:56,0:16
Richmond Station (Richmond),5:28,5:31,5:58,6:28,6:43,6:58,7:10,7:25,7:38,7:50,7:57,8:04,8:11,8:18,8:25,8:32,8:39,8:46,8:53,9:02,9:11,9:22,9:33,9:48,10:03,10:18,10:33,10:48,11:03,11:18,11:33,11:48,12:03,12:18,12:33,12:48,13:03,13:18,13:33,13:48,14:03,14:18,14:34,14:48,15:03,15:18,15:33,15:48,16:03,16:15,16:28,16:42,16:57,17:11,17:27,17:40,17:50,18:01,18:13,18:27,18:33,18:42,19:01,19:11,19:21,19:41,20:03,20:21,20:41,20:58,21:28,21:58,22:28,22:58,23:28,23:58,0:18
Parliament Station (Melbourne City), ,5:34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Melbourne Central Station (Melbourne City), ,5:36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Flagstaff Station (Melbourne City), ,5:37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Southern Cross Station (Melbourne City), ,5:39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Flinders Street Station (Melbourne City),5:32,5:43,6:02,6:32,6:47,7:03,7:14,7:29,7:42,7:54,8:01,8:08,8:15,8:22,8:29,8:36,8:43,8:50,8:57,9:06,9:15,9:26,9:37,9:53,10:07,10:22,10:37,10:52,11:07,11:22,11:37,11:52,12:07,12:22,12:37,12:52,13:07,13:22,13:37,13:52,14:07,14:22,14:38,14:52,15:08,15:23,15:38,15:53,16:07,16:19,16:32,16:47,17:03,17:15,17:32,17:45,17:54,18:05,18:18,18:31,18:37,18:46,19:05,19:15,19:25,19:45,20:07,20:25,20:45,21:02,21:32,22:02,22:32,23:02,23:32,0:02,0:22
Flinders Street Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:10,13:25,13:40,13:55,14:10,14:25,14:40,14:55,15:13,15:28,15:41,15:55,16:12,16:21,16:36,-,-,-,-,-,17:56,-,-,-,18:39,18:49,19:09,19:20,-,19:50,20:20,20:35,-,21:05,-,-,-,-,-,-,-
Southern Cross Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:13,13:28,13:43,13:58,14:13,14:28,14:43,14:58,15:16,15:31,15:44,15:58,16:15,16:24,16:39,-,-,-,-,-,17:59,-,-,-,18:42,18:52,19:12,19:23,-,19:53,20:23,20:38,-,21:08,-,-,-,-,-,-,-
Flagstaff Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:18,15:33,15:46,16:00,16:17,16:26,16:41,-,-,-,-,-,18:01,-,-,-,18:44,18:54,19:14,19:25,-,19:55,20:25,20:40,-,21:10,-,-,-,-,-,-,-
Melbourne Central Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:16,13:31,13:46,14:01,14:16,14:31,14:46,15:01,15:19,15:35,15:48,16:02,16:19,16:28,16:43,-,-,-,-,-,18:03,-,-,-,18:45,18:55,19:15,19:26,-,19:56,20:26,20:41,-,21:12,-,-,-,-,-,-,-
Parliament Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:17,13:32,13:47,14:02,14:17,14:32,14:47,15:02,15:20,15:36,15:49,16:03,16:20,16:29,16:44,-,-,-,-,-,18:04,-,-,-,18:46,18:56,19:16,19:27,-,19:57,20:27,20:42,-,21:13,-,-,-,-,-,-,-
