Parliament Station (Melbourne City),5:29,5:59,6:29,6:59,7:19,7:39,-,8:19,-,8:59,-,9:39,-,10:19,-,-,-,11:39,-,-,-,12:59,-,-,-,14:19,-,-,-,15:39,-,-,-,16:59,-,-,-,18:19,-,-,-,19:39,-,-,-,20:58,-,-,-,22:18,-,-,-,23:38,-,-,-
Melbourne Central Station (Melbourne City),5:31,6:01,6:31,7:01,7:21,7:41,-,8:21,-,9:01,-,9:41,-,10:21,-,-,-,11:41,-,-,-,13:01,-,-,-,14:21,-,-,-,15:41,-,-,-,17:01,-,-,-,18:21,-,-,-,19:41,-,-,-,21:00,-,-,-,22:20,-,-,-,23:40,-,-,-
Southern Cross Station (Melbourne City),5:34,6:04,6:34,7:04,7:24,7:44,-,8:24,-,9:04,-,9:44,-,10:24,-,-,-,11:44,-,-,-,13:04,-,-,-,14:24,-,-,-,15:44,-,-,-,17:04,-,-,-,18:24,-,-,-,19:44,-,-,-,21:03,-,-,-,22:23,-,-,-,23:43,-,-,-
Flinders Street Station (Melbourne City),5:38,6:08,6:38,7:08,7:28,7:48,-,8:28,-,9:08,-,9:48,-,10:28,-,-,-,11:48,-,-,-,13:08,-,-,-,14:28,-,-,-,15:48,-,-,-,17:08,-,-,-,18:28,-,-,-,19:48,-,-,-,21:07,-,-,-,22:27,-,-,-,23:47,-,-,-
Flinders Street Station (Melbourne City),5:42,6:12,6:42,7:12,7:32,7:52,8:12,8:32,8:52,9:12,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:12,19:32,19:52,20:12,20:32,20:52,21:12,21:32,21:52,22:12,22:32,22:52,23:12,23:32,23:52,0:12,0:42,1:12
Richmond Station (Richmond),5:45,6:15,6:45,7:15,7:35,7:55,8:15,8:35,8:55,9:15,9:35,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:55,20:15,20:35,20:55,21:15,21:35,21:55,22:15,22:35,22:55,23:15,23:35,23:55,0:15,0:45,1:15
South Yarra Station (South Yarra),5:48,6:18,6:48,7:18,7:38,7:58,8:18,8:38,8:58,9:18,9:38,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:38,17:58,18:18,18:38,18:58,19:18,19:38,19:58,20:18,20:38,20:58,21:18,21:38,21:58,22:18,22:38,22:58,23:18,23:38,23:58,0:18,0:48,1:18
Prahran Station (Prahran),5:50,6:20,6:50,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:20,20:40,21:00,21:20,21:40,22:00,22:20,22:40,23:00,23:20,23:40,0:00,0:20,0:50,1:20
Windsor Station (Windsor),5:52,6:22,6:52,7:22,7:42,8:02,8:22,8:42,9:02,9:22,9:42,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,16:02,16:22,16:42,17:02,17:22,17:42,18:02,18:22,18:42,19:02,19:22,19:42,20:02,20:22,20:42,21:02,21:22,21:42,22:02,22:22,22:42,23:02,23:22,23:42,0:02,0:22,0:52,1:22
Balaclava Station (Balaclava),5:54,6:24,6:54,7:24,7:44,8:04,8:24,8:44,9:04,9:24,9:44,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,15:04,15:24,15:44,16:04,16:24,16:44,17:04,17:24,17:44,18:04,18:24,18:44,19:04,19:24,19:44,20:04,20:24,20:44,21:04,21:24,21:44,22:04,22:24,22:44,23:04,23:24,23:44,0:04,0:24,0:54,1:24
Ripponlea Station (Ripponlea),5:56,6:26,6:56,7:26,7:46,8:06,8:26,8:46,9:06,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:26,19:46,20:06,20:26,20:46,21:06,21:26,21:46,22:06,22:26,22:46,23:06,23:26,23:46,0:06,0:26,0:56,1:26
Elsternwick Station (Elsternwick),5:58,6:28,6:58,7:28,7:48,8:08,8:28,8:48,9:08,9:28,9:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:08,19:28,19:48,20:08,20:28,20:48,21:08,21:28,21:48,22:08,22:28,22:48,23:08,23:28,23:48,0:08,0:28,0:58,1:28
Gardenvale Station (Brighton),6:00,6:30,7:00,7:30,7:50,8:10,8:30,8:50,9:10,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,19:50,20:10,20:30,20:50,21:10,21:30,21:50,22:10,22:30,22:50,23:10,23:30,23:50,0:10,0:30,1:00,1:30
North Brighton Station (Brighton),6:02,6:32,7:02,7:32,7:52,8:12,8:32,8:52,9:12,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:12,19:32,19:52,20:12,20:32,20:52,21:12,21:32,21:52,22:12,22:32,22:52,23:12,23:32,23:52,0:12,0:32,1:02,1:32
Middle Brighton Station (Brighton),6:04,6:34,7:04,7:34,7:54,8:14,8:34,8:54,9:14,9:34,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,13:14,13:34,13:54,14:14,14:34,14:54,15:14,15:34,15:54,16:14,16:34,16:54,17:14,17:34,17:54,18:14,18:34,18:54,19:14,19:34,19:54,20:14,20:34,20:54,21:14,21:34,21:54,22:14,22:34,22:54,23:14,23:34,23:54,0:14,0:34,1:04,1:34
