Sandringham Station (Sandringham),7:30,8:10,8:50,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,19:50,20:09,20:29,20:49,21:09,21:29,21:49,22:09,22:29,22:49,23:09,23:29
Hampton Station (Hampton),7:32,8:12,8:52,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:12,19:32,19:52,20:11,20:31,20:51,21:11,21:31,21:51,22:11,22:31,22:51,23:11,23:31
Brighton Beach Station (Brighton),7:35,8:15,8:55,9:35,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:55,20:14,20:34,20:54,21:14,21:34,21:54,22:14,22:34,22:54,23:14,23:34
Middle Brighton Station (Brighton),7:37,8:17,8:57,9:37,9:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:37,18:57,19:17,19:37,19:57,20:16,20:36,20:56,21:16,21:36,21:56,22:16,22:36,22:56,23:16,23:36
North Brighton Station (Brighton),7:40,8:20,9:00,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:19,20:39,20:59,21:19,21:39,21:59,22:19,22:39,22:59,23:19,23:39
Gardenvale Station (Brighton),7:41,8:21,9:01,9:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:21,16:41,17:01,17:21,17:41,18:01,18:21,18:41,19:01,19:21,19:41,20:01,20:20,20:40,21:00,21:20,21:40,22:00,22:20,22:40,23:00,23:20,23:40
Elsternwick Station (Elsternwick),7:43,8:23,9:03,9:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:43,19:03,19:23,19:43,20:03,20:22,20:42,21:02,21:22,21:42,22:02,22:22,22:42,23:02,23:22,23:42
Ripponlea Station (Ripponlea),7:45,8:25,9:05,9:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:25,19:45,20:05,20:24,20:44,21:04,21:24,21:44,22:04,22:24,22:44,23:04,23:24,23:44
Balaclava Station (Balaclava),7:47,8:27,9:07,9:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:47,19:07,19:27,19:47,20:07,20:26,20:46,21:06,21:26,21:46,22:06,22:26,22:46,23:06,23:26,23:46
Windsor Station (Windsor),7:50,8:30,9:10,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,19:50,20:10,20:29,20:49,21:09,21:29,21:49,22:09,22:29,22:49,23:09,23:29,23:49
