Parliament Station (Melbourne City),5:11,5:21,5:38,5:45,6:08,6:25,6:38,6:45,7:05,7:09,7:25,7:35,7:45,7:55,8:05,8:15,8:25,8:35,8:45,8:55,9:05,9:15,9:25,9:35,-,9:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melbourne Central Station (Melbourne City),5:13,5:23,5:40,5:47,6:10,6:27,6:40,6:47,7:07,7:11,7:27,7:37,7:47,7:57,8:07,8:17,8:27,8:37,8:47,8:57,9:07,9:17,9:27,9:37,-,9:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southern Cross Station (Melbourne City),5:16,5:26,5:43,5:50,6:13,6:30,6:43,6:50,7:10,7:14,7:30,7:40,7:50,8:00,8:10,8:20,8:30,8:40,8:50,9:00,9:10,9:20,9:30,9:40,-,10:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),5:20,5:30,5:47,5:54,6:17,6:34,6:47,6:54,7:14,7:19,7:34,7:44,7:54,8:04,8:14,8:24,8:34,8:44,8:54,9:04,9:14,9:24,9:34,9:44,-,10:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),5:22,5:34,5:52,6:14,6:22,6:45,6:50,7:07,7:17,7:27,7:37,7:47,7:57,8:07,8:17,8:27,8:37,8:47,8:57,9:07,9:17,9:27,9:37,9:47,9:57,10:07,10:17,10:27,10:37,10:47,10:57,11:07,11:17,11:27,11:37,11:47,11:57,12:07,12:17,12:27,12:37,12:47,12:57,13:07,13:17,13:27,13:37,13:47,13:57,14:07,14:17,14:27,14:37,14:47,14:57,15:07,15:17,15:27,15:37,15:47,15:57,16:07,16:17,16:27,16:37,16:47,16:57,17:07,17:17,17:27,17:37,17:47,17:57,18:07,18:17,18:27,18:37,18:51,18:57,19:06,19:17,19:21,19:37,19:51,20:07,20:21,20:37,20:51,21:07,21:21,21:37,21:51,22:07,22:21,22:37,22:51,23:07,23:21,23:37,23:51,0:07,0:21,0:37,0:51,1:07,1:21
Jolimont-MCG Station (East Melbourne),5:25,5:37,5:55,6:17,6:25,6:48,6:53,7:10,7:20,7:30,7:40,7:50,8:00,8:10,8:20,8:30,8:40,8:50,9:00,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:54,19:00,19:09,19:20,19:24,19:40,19:54,20:10,20:24,20:40,20:54,21:10,21:24,21:40,21:54,22:10,22:24,22:40,22:54,23:10,23:24,23:40,23:54,0:10,0:24,0:40,0:54,1:10,1:24
West Richmond Station (Richmond),5:26,5:38,5:56,6:18,6:26,6:49,6:54,7:11,7:21,7:31,7:41,7:51,8:01,8:11,8:21,8:31,8:41,8:51,9:01,9:11,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:11,17:21,17:31,17:41,17:51,18:01,18:11,18:21,18:31,18:41,18:55,19:01,19:10,19:21,19:25,19:41,19:55,20:11,20:25,20:41,20:55,21:11,21:25,21:41,21:55,22:11,22:25,22:41,22:55,23:11,23:25,23:41,23:55,0:11,0:25,0:41,0:55,1:11,1:25
North Richmond Station (Richmond),5:28,5:40,5:58,6:20,6:28,6:51,6:56,7:13,7:23,7:33,7:43,7:53,8:03,8:13,8:23,8:33,8:43,8:53,9:03,9:13,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:57,19:03,19:12,19:23,19:27,19:43,19:57,20:13,20:27,20:43,20:57,21:13,21:27,21:43,21:57,22:13,22:27,22:43,22:57,23:13,23:27,23:43,23:57,0:13,0:27,0:43,0:57,1:13,1:27
Collingwood Station (Abbotsford),5:29,5:41,5:59,6:21,6:29,6:52,6:57,7:14,7:24,7:34,7:44,7:54,8:04,8:14,8:24,8:34,8:44,8:54,9:04,9:14,9:24,9:34,9:44,9:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,13:04,13:14,13:24,13:34,13:44,13:54,14:04,14:14,14:24,14:34,14:44,14:54,15:04,15:14,15:24,15:34,15:44,15:54,16:04,16:14,16:24,16:34,16:44,16:54,17:04,17:14,17:24,17:34,17:44,17:54,18:04,18:14,18:24,18:34,18:44,18:58,19:04,19:13,19:24,19:28,19:44,19:58,20:14,20:28,20:44,20:58,21:14,21:28,21:44,21:58,22:14,22:28,22:44,22:58,23:14,23:28,23:44,23:58,0:14,0:28,0:44,0:58,1:14,1:28
Victoria Park Station (Abbotsford),5:31,5:43,6:01,6:23,6:31,6:54,6:59,7:16,7:26,7:36,7:46,7:56,8:06,8:16,8:26,8:36,8:46,8:56,9:06,9:16,9:26,9:36,9:46,9:56,10:06,10:16,10:26,10:36,10:46,10:56,11:06,11:16,11:26,11:36,11:46,11:56,12:06,12:16,12:26,12:36,12:46,12:56,13:06,13:16,13:26,13:36,13:46,13:56,14:06,14:16,14:26,14:36,14:46,14:56,15:06,15:16,15:26,15:36,15:46,15:56,16:06,16:16,16:26,16:36,16:46,16:56,17:06,17:16,17:26,17:36,17:46,17:56,18:06,18:16,18:26,18:36,18:46,19:00,19:06,19:15,19:26,19:30,19:46,20:00,20:16,20:30,20:46,21:00,21:16,21:30,21:46,22:00,22:16,22:30,22:46,23:00,23:16,23:30,23:46,0:00,0:16,0:30,0:46,1:00,1:16,1:30
Clifton Hill Station (Clifton Hill),5:33,5:45,6:03,6:25,6:33,6:56,7:01,7:18,7:28,7:38,7:48,7:58,8:08,8:18,8:28,8:38,8:48,8:58,9:08,9:18,9:28,9:38,9:48,9:58,10:08,10:18,10:28,10:38,10:48,10:58,11:08,11:18,11:28,11:38,11:48,11:58,12:08,12:18,12:28,12:38,12:48,12:58,13:08,13:18,13:28,13:38,13:48,13:58,14:08,14:18,14:28,14:38,14:48,14:58,15:08,15:18,15:28,15:38,15:48,15:58,16:08,16:18,16:28,16:38,16:48,16:58,17:08,17:18,17:28,17:38,17:48,17:58,18:08,18:18,18:28,18:38,18:48,19:02,19:08,19:17,19:28,19:32,19:48,20:02,20:18,20:32,20:48,21:02,21:18,21:32,21:48,22:02,22:18,22:32,22:48,23:02,23:18,23:32,23:48,0:02,0:18,0:32,0:48,1:02,1:18,1:32
Rushall Station (Fitzroy North),5:35,-,6:05,-,6:35,-,7:03,-,7:30,-,7:50,-,8:10,-,8:30,-,8:50,-,9:10,-,9:30,-,9:50,-,10:10,-,10:30,-,10:50,-,11:10,-,11:30,-,11:50,-,12:10,-,12:30,-,12:50,-,13:10,-,13:30,-,13:50,-,14:10,-,14:30,-,14:50,-,15:10,-,15:30,-,15:50,-,16:10,-,16:30,-,16:50,-,17:10,-,17:30,-,17:50,-,18:10,-,18:30,-,18:50,-,19:10,-,19:30,-,19:50,-,20:20,-,20:50,-,21:20,-,21:50,-,22:20,-,22:50,-,23:20,-,23:50,-,0:20,-,0:50,-,1:20,-
Merri Station (Northcote),5:36,-,6:06,-,6:36,-,7:04,-,7:31,-,7:51,-,8:11,-,8:31,-,8:51,-,9:11,-,9:31,-,9:51,-,10:11,-,10:31,-,10:51,-,11:11,-,11:31,-,11:51,-,12:11,-,12:31,-,12:51,-,13:11,-,13:31,-,13:51,-,14:11,-,14:31,-,14:51,-,15:11,-,15:31,-,15:51,-,16:11,-,16:31,-,16:51,-,17:11,-,17:31,-,17:51,-,18:11,-,18:31,-,18:51,-,19:11,-,19:31,-,19:51,-,20:21,-,20:51,-,21:21,-,21:51,-,22:21,-,22:51,-,23:21,-,23:51,-,0:21,-,0:51,-,1:21,-
Northcote Station (Northcote),5:38,-,6:08,-,6:38,-,7:06,-,7:33,-,7:53,-,8:13,-,8:33,-,8:53,-,9:13,-,9:33,-,9:53,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:33,-,18:53,-,19:13,-,19:33,-,19:53,-,20:23,-,20:53,-,21:23,-,21:53,-,22:23,-,22:53,-,23:23,-,23:53,-,0:23,-,0:53,-,1:23,-
Croxton Station (Northcote),5:40,-,6:10,-,6:40,-,7:08,-,7:35,-,7:55,-,8:15,-,8:35,-,8:55,-,9:15,-,9:35,-,9:55,-,10:15,-,10:35,-,10:55,-,11:15,-,11:35,-,11:55,-,12:15,-,12:35,-,12:55,-,13:15,-,13:35,-,13:55,-,14:15,-,14:35,-,14:55,-,15:15,-,15:35,-,15:55,-,16:15,-,16:35,-,16:55,-,17:15,-,17:35,-,17:55,-,18:15,-,18:35,-,18:55,-,19:15,-,19:35,-,19:55,-,20:25,-,20:55,-,21:25,-,21:55,-,22:25,-,22:55,-,23:25,-,23:55,-,0:25,-,0:55,-,1:25,-
