South Morang Station (South Morang),-,7:17,-,7:57,-,8:37,-,9:17,-,9:53,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:33,-,18:53,-,19:13,-,19:33,-,19:58,-,20:28,-,20:58,-,21:28,-,21:58,-,22:28,-,22:58,-,23:28
Epping Station (Epping),-,7:20,-,8:00,-,8:40,-,9:20,-,9:56,-,10:16,-,10:36,-,10:56,-,11:16,-,11:36,-,11:56,-,12:16,-,12:36,-,12:56,-,13:16,-,13:36,-,13:56,-,14:16,-,14:36,-,14:56,-,15:16,-,15:36,-,15:56,-,16:16,-,16:36,-,16:56,-,17:16,-,17:36,-,17:56,-,18:16,-,18:36,-,18:56,-,19:16,-,19:36,-,20:01,-,20:31,-,21:01,-,21:31,-,22:01,-,22:31,-,23:01,-,23:31
Lalor Station (Lalor),-,7:23,-,8:03,-,8:43,-,9:23,-,9:59,-,10:19,-,10:39,-,10:59,-,11:19,-,11:39,-,11:59,-,12:19,-,12:39,-,12:59,-,13:19,-,13:39,-,13:59,-,14:19,-,14:39,-,14:59,-,15:19,-,15:39,-,15:59,-,16:19,-,16:39,-,16:59,-,17:19,-,17:39,-,17:59,-,18:19,-,18:39,-,18:59,-,19:19,-,19:39,-,20:04,-,20:34,-,21:04,-,21:34,-,22:04,-,22:34,-,23:04,-,23:34
Thomastown Station (Thomastown),-,7:25,-,8:05,-,8:45,-,9:25,-,10:01,-,10:21,-,10:41,-,11:01,-,11:21,-,11:41,-,12:01,-,12:21,-,12:41,-,13:01,-,13:21,-,13:41,-,14:01,-,14:21,-,14:41,-,15:01,-,15:21,-,15:41,-,16:01,-,16:21,-,16:41,-,17:01,-,17:21,-,17:41,-,18:01,-,18:21,-,18:41,-,19:01,-,19:21,-,19:41,-,20:06,-,20:36,-,21:06,-,21:36,-,22:06,-,22:36,-,23:06,-,23:36
Keon Park Station (Thomastown),-,7:27,-,8:07,-,8:47,-,9:27,-,10:03,-,10:23,-,10:43,-,11:03,-,11:23,-,11:43,-,12:03,-,12:23,-,12:43,-,13:03,-,13:23,-,13:43,-,14:03,-,14:23,-,14:43,-,15:03,-,15:23,-,15:43,-,16:03,-,16:23,-,16:43,-,17:03,-,17:23,-,17:43,-,18:03,-,18:23,-,18:43,-,19:03,-,19:23,-,19:43,-,20:08,-,20:38,-,21:08,-,21:38,-,22:08,-,22:38,-,23:08,-,23:38
Ruthven Station (Reservoir),-,7:30,-,8:10,-,8:50,-,9:30,-,10:06,-,10:26,-,10:46,-,11:06,-,11:26,-,11:46,-,12:06,-,12:26,-,12:46,-,13:06,-,13:26,-,13:46,-,14:06,-,14:26,-,14:46,-,15:06,-,15:26,-,15:46,-,16:06,-,16:26,-,16:46,-,17:06,-,17:26,-,17:46,-,18:06,-,18:26,-,18:46,-,19:06,-,19:26,-,19:46,-,20:11,-,20:41,-,21:11,-,21:41,-,22:11,-,22:41,-,23:11,-,23:41
Reservoir Station (Reservoir),-,7:31,-,8:11,-,8:51,-,9:31,-,10:07,-,10:27,-,10:47,-,11:07,-,11:27,-,11:47,-,12:07,-,12:27,-,12:47,-,13:07,-,13:27,-,13:47,-,14:07,-,14:27,-,14:47,-,15:07,-,15:27,-,15:47,-,16:07,-,16:27,-,16:47,-,17:07,-,17:27,-,17:47,-,18:07,-,18:27,-,18:47,-,19:07,-,19:27,-,19:47,-,20:12,-,20:42,-,21:12,-,21:42,-,22:12,-,22:42,-,23:12,-,23:42
Regent Station (Reservoir),-,7:34,-,8:14,-,8:54,-,9:34,-,10:10,-,10:30,-,10:50,-,11:10,-,11:30,-,11:50,-,12:10,-,12:30,-,12:50,-,13:10,-,13:30,-,13:50,-,14:10,-,14:30,-,14:50,-,15:10,-,15:30,-,15:50,-,16:10,-,16:30,-,16:50,-,17:10,-,17:30,-,17:50,-,18:10,-,18:30,-,18:50,-,19:10,-,19:30,-,19:50,-,20:15,-,20:45,-,21:15,-,21:45,-,22:15,-,22:45,-,23:15,-,23:45
Preston Station (Preston),-,7:35,-,8:15,-,8:55,-,9:35,-,10:11,-,10:31,-,10:51,-,11:11,-,11:31,-,11:51,-,12:11,-,12:31,-,12:51,-,13:11,-,13:31,-,13:51,-,14:11,-,14:31,-,14:51,-,15:11,-,15:31,-,15:51,-,16:11,-,16:31,-,16:51,-,17:11,-,17:31,-,17:51,-,18:11,-,18:31,-,18:51,-,19:11,-,19:31,-,19:51,-,20:16,-,20:46,-,21:16,-,21:46,-,22:16,-,22:46,-,23:16,-,23:46
Bell Station (Preston),-,7:37,-,8:17,-,8:57,-,9:37,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:33,-,18:53,-,19:13,-,19:33,-,19:53,-,20:18,-,20:48,-,21:18,-,21:48,-,22:18,-,22:48,-,23:18,-,23:48
Thornbury Station (Thornbury),-,7:39,-,8:19,-,8:59,-,9:39,-,10:15,-,10:35,-,10:55,-,11:15,-,11:35,-,11:55,-,12:15,-,12:35,-,12:55,-,13:15,-,13:35,-,13:55,-,14:15,-,14:35,-,14:55,-,15:15,-,15:35,-,15:55,-,16:15,-,16:35,-,16:55,-,17:15,-,17:35,-,17:55,-,18:15,-,18:35,-,18:55,-,19:15,-,19:35,-,19:55,-,20:20,-,20:50,-,21:20,-,21:50,-,22:20,-,22:50,-,23:20,-,23:50
