Frankston Station (Frankston),6:46,8:45,10:26,12:06,14:06,15:46,17:26,19:26
Leawarra Station (Frankston),6:48,8:47,10:28,12:08,14:08,15:48,17:28,19:28
Baxter Station (Baxter),6:55,8:54,10:35,12:15,14:15,15:55,17:35,19:35
Somerville Station (Somerville),6:59,8:58,10:39,12:19,14:19,15:59,17:39,19:39
Tyabb Station (Tyabb),7:03,9:02,10:43,12:23,14:23,16:03,17:43,19:43
Hastings Station (Hastings),7:08,9:07,10:48,12:28,14:28,16:08,17:48,19:48
Bittern Station (Bittern),7:12,9:11,10:52,12:32,14:32,16:12,17:52,19:52
Morradoo Station (Crib Point),7:15,9:14,10:55,12:35,14:35,16:15,17:55,19:55
Crib Point Station (Crib Point),7:18,9:17,10:58,12:38,14:38,16:18,17:58,19:58
Stony Point Station (Crib Point),7:22,9:21,11:02,12:42,14:42,16:22,18:02,20:02
