Frankston Station (Frankston),7:23,9:05,11:05,13:05,15:05,17:26,19:26
Leawarra Station (Frankston),7:25,9:07,11:07,13:07,15:07,17:28,19:28
Baxter Station (Baxter),7:32,9:14,11:14,13:14,15:14,17:35,19:35
Somerville Station (Somerville),7:36,9:18,11:18,13:18,15:18,17:39,19:39
Tyabb Station (Tyabb),7:40,9:22,11:22,13:22,15:22,17:43,19:43
Hastings Station (Hastings),7:45,9:27,11:27,13:27,15:27,17:48,19:48
Bittern Station (Bittern),7:49,9:31,11:31,13:31,15:31,17:52,19:52
Morradoo Station (Crib Point),7:52,9:34,11:34,13:34,15:34,17:55,19:55
Crib Point Station (Crib Point),7:55,9:37,11:37,13:37,15:37,17:58,19:58
Stony Point Station (Crib Point),7:59,9:41,11:41,13:41,15:41,18:02,20:02
