Stony Point Station (Crib Point),5:39,6:16,7:55,9:33,11:02,11:47,13:41,15:22,17:02,19:26,20:56,22:22
Crib Point Station (Crib Point),5:41,6:18,7:57,9:35,11:04,11:49,13:43,15:24,17:04,19:28,20:58,22:24
Morradoo Station (Crib Point),5:44,6:21,8:00,9:38,11:07,11:52,13:46,15:27,17:07,19:31,21:01,22:27
Bittern Station (Bittern),5:47,6:24,8:03,9:41,11:10,11:55,13:49,15:30,17:10,19:34,21:04,22:30
Hastings Station (Hastings),5:50,6:27,8:06,9:44,11:13,11:58,13:52,15:33,17:13,19:37,21:07,22:33
Tyabb Station (Tyabb),5:55,6:32,8:11,9:49,11:18,12:03,13:57,15:38,17:18,19:42,21:12,22:38
Somerville Station (Somerville),6:00,6:37,8:16,9:54,11:23,12:08,14:02,15:43,17:23,19:47,21:17,22:43
Baxter Station (Baxter),6:04,6:41,8:20,9:58,11:27,12:12,14:06,15:47,17:27,19:51,21:21,22:47
Leawarra Station (Frankston),6:10,6:47,8:26,10:04,11:33,12:18,14:12,15:53,17:33,19:57,21:27,22:53
Frankston Station (Frankston),6:15,6:52,8:31,10:09,11:38,12:23,14:17,15:58,17:38,20:02,21:32,22:58
