Stony Point Station (Crib Point),7:41,9:31,11:11,12:51,14:51,16:31,18:30,20:30
Crib Point Station (Crib Point),7:43,9:33,11:13,12:53,14:53,16:33,18:32,20:32
Morradoo Station (Crib Point),7:46,9:36,11:16,12:56,14:56,16:36,18:35,20:35
Bittern Station (Bittern),7:49,9:39,11:19,12:59,14:59,16:39,18:38,20:38
Hastings Station (Hastings),7:52,9:42,11:22,13:02,15:02,16:42,18:41,20:41
Tyabb Station (Tyabb),7:57,9:47,11:27,13:07,15:07,16:47,18:46,20:46
Somerville Station (Somerville),8:02,9:52,11:32,13:12,15:12,16:52,18:51,20:51
Baxter Station (Baxter),8:06,9:56,11:36,13:16,15:16,16:56,18:55,20:55
Leawarra Station (Frankston),8:12,10:02,11:42,13:22,15:22,17:02,19:01,21:01
Frankston Station (Frankston),8:17,10:07,11:47,13:27,15:27,17:07,19:06,21:06
