Stony Point Station (Crib Point),8:04,10:04,12:04,14:04,16:04,18:30,20:30
Crib Point Station (Crib Point),8:06,10:06,12:06,14:06,16:06,18:32,20:32
Morradoo Station (Crib Point),8:09,10:09,12:09,14:09,16:09,18:35,20:35
Bittern Station (Bittern),8:12,10:12,12:12,14:12,16:12,18:38,20:38
Hastings Station (Hastings),8:15,10:15,12:15,14:15,16:15,18:41,20:41
Tyabb Station (Tyabb),8:20,10:20,12:20,14:20,16:20,18:46,20:46
Somerville Station (Somerville),8:25,10:25,12:25,14:25,16:25,18:51,20:51
Baxter Station (Baxter),8:29,10:29,12:29,14:29,16:29,18:55,20:55
Leawarra Station (Frankston),8:35,10:35,12:35,14:35,16:35,19:01,21:01
Frankston Station (Frankston),8:40,10:40,12:40,14:40,16:40,19:06,21:06
