Sunbury Station (Sunbury),-,-,4:48,5:06,-,-,-,-,-,5:42,-,-,-,-,6:18,-,-,-,-,-,6:36,-,-,-,-,6:54,-,-,-,7:06,-,-,-,7:18,-,-,-,7:30,-,-,-,-,7:42,-,-,-,7:54,-,-,-,8:06,-,-,-,-,8:24,-,-,-,-,8:42,-,-,-,9:02,-,-,-,-,-,9:40,-,-,-,-,-,10:20,-,-,-,-,-,11:00,-,-,-,-,-,11:40,-,-,-,-,-,12:20,-,-,-,-,-,13:00,-,-,-,-,-,13:40,-,-,-,-,-,14:20,-,-,-,-,-,15:00,-,-,-,-,-,15:40,-,-,-,-,-,-,-,16:20,-,-,-,-,-,-,-,17:00,-,-,-,-,-,-,-,-,-,-,17:40,-,-,-,-,-,-,-,-,18:20,-,-,-,-,-,-,19:00,-,-,-,-,-,20:00,-,-,-,-,21:00,-,-,-,-,22:05,-,-,-,23:00,-,23:30
Diggers Rest Station (Diggers Rest),-,-,4:52,5:10,-,-,-,-,-,5:46,-,-,-,-,6:22,-,-,-,-,-,6:40,-,-,-,-,6:58,-,-,-,7:10,-,-,-,7:22,-,-,-,7:34,-,-,-,-,7:46,-,-,-,7:58,-,-,-,8:10,-,-,-,-,8:28,-,-,-,-,8:46,-,-,-,9:06,-,-,-,-,-,9:44,-,-,-,-,-,10:24,-,-,-,-,-,11:04,-,-,-,-,-,11:44,-,-,-,-,-,12:24,-,-,-,-,-,13:04,-,-,-,-,-,13:44,-,-,-,-,-,14:24,-,-,-,-,-,15:04,-,-,-,-,-,15:44,-,-,-,-,-,-,-,16:24,-,-,-,-,-,-,-,17:04,-,-,-,-,-,-,-,-,-,-,17:44,-,-,-,-,-,-,-,-,18:24,-,-,-,-,-,-,19:04,-,-,-,-,-,20:04,-,-,-,-,21:04,-,-,-,-,22:09,-,-,-,23:04,-,23:34
Watergardens Station (Sydenham),-,-,4:59,5:17,-,-,5:35,-,-,5:53,-,6:11,-,-,6:29,-,-,6:38,-,-,6:47,-,6:56,-,-,7:05,-,7:11,-,7:17,-,7:23,-,7:29,-,7:35,-,7:41,-,7:47,-,-,7:53,7:59,-,-,8:05,-,8:11,-,8:17,-,-,8:26,-,8:35,-,-,8:44,-,8:53,-,-,-,9:13,-,-,9:31,-,-,9:51,-,-,10:11,-,-,10:31,-,-,10:51,-,-,11:11,-,-,11:31,-,-,11:51,-,-,12:11,-,-,12:31,-,-,12:51,-,-,13:11,-,-,13:31,-,-,13:51,-,-,14:11,-,-,14:31,-,-,14:51,-,-,15:11,-,-,15:31,-,-,15:51,-,-,16:11,-,-,16:28,-,16:31,-,-,-,16:51,-,-,-,17:11,-,-,-,-,17:31,-,-,17:38,-,-,17:51,-,-,-,18:11,-,18:20,-,-,18:31,-,-,-,18:51,-,-,19:11,-,-,19:41,-,-,20:11,-,20:41,-,-,21:11,-,21:41,-,-,22:16,-,22:41,-,23:11,-,23:41
Keilor Plains Station (St Albans),-,-,5:02,5:20,-,-,5:38,-,-,5:56,-,6:14,-,-,6:32,-,-,6:41,-,-,6:50,-,6:59,-,-,7:08,-,7:14,-,7:20,-,7:26,-,7:32,-,7:38,-,7:44,-,7:50,-,-,7:56,8:02,-,-,8:08,-,8:14,-,8:20,-,-,8:29,-,8:38,-,-,8:47,-,8:56,-,-,-,9:16,-,-,9:34,-,-,9:54,-,-,10:14,-,-,10:34,-,-,10:54,-,-,11:14,-,-,11:34,-,-,11:54,-,-,12:14,-,-,12:34,-,-,12:54,-,-,13:14,-,-,13:34,-,-,13:54,-,-,14:14,-,-,14:34,-,-,14:54,-,-,15:14,-,-,15:34,-,-,15:54,-,-,16:14,-,-,16:31,-,16:34,-,-,-,16:54,-,-,-,17:14,-,-,-,-,17:34,-,-,17:41,-,-,17:54,-,-,-,18:14,-,18:23,-,-,18:34,-,-,-,18:54,-,-,19:14,-,-,19:44,-,-,20:14,-,20:44,-,-,21:14,-,21:44,-,-,22:19,-,22:44,-,23:14,-,23:44
St Albans Station (St Albans),-,-,5:05,5:23,-,-,5:41,-,-,5:59,-,6:17,-,-,6:35,-,-,6:44,-,-,6:53,-,7:02,-,-,7:11,-,7:17,-,7:23,-,7:29,-,7:35,-,7:41,-,7:47,-,7:53,-,-,7:59,8:05,-,-,8:11,-,8:17,-,8:23,-,-,8:32,-,8:41,-,-,8:50,-,8:59,-,-,-,9:19,-,-,9:37,-,-,9:57,-,-,10:17,-,-,10:37,-,-,10:57,-,-,11:17,-,-,11:37,-,-,11:57,-,-,12:17,-,-,12:37,-,-,12:57,-,-,13:17,-,-,13:37,-,-,13:57,-,-,14:17,-,-,14:37,-,-,14:57,-,-,15:17,-,-,15:37,-,-,15:57,-,-,16:17,-,-,16:34,-,16:37,-,-,-,16:57,-,-,-,17:17,-,-,-,-,17:37,-,-,17:44,-,-,17:57,-,-,-,18:17,-,18:26,-,-,18:37,-,-,-,18:57,-,-,19:17,-,-,19:47,-,-,20:17,-,20:47,-,-,21:17,-,21:47,-,-,22:22,-,22:47,-,23:17,-,23:47
Ginifer Station (St Albans),-,-,5:07,5:25,-,-,5:43,-,-,6:01,-,6:19,-,-,6:37,-,-,6:46,-,-,6:55,-,7:04,-,-,7:13,-,7:19,-,7:25,-,7:31,-,7:37,-,7:43,-,7:49,-,7:55,-,-,8:01,8:07,-,-,8:13,-,8:19,-,8:25,-,-,8:34,-,8:43,-,-,8:52,-,9:01,-,-,-,9:21,-,-,9:39,-,-,9:59,-,-,10:19,-,-,10:39,-,-,10:59,-,-,11:19,-,-,11:39,-,-,11:59,-,-,12:19,-,-,12:39,-,-,12:59,-,-,13:19,-,-,13:39,-,-,13:59,-,-,14:19,-,-,14:39,-,-,14:59,-,-,15:19,-,-,15:39,-,-,15:59,-,-,16:19,-,-,16:36,-,16:39,-,-,-,16:59,-,-,-,17:19,-,-,-,-,17:39,-,-,17:46,-,-,17:59,-,-,-,18:19,-,18:28,-,-,18:39,-,-,-,18:59,-,-,19:19,-,-,19:49,-,-,20:19,-,20:49,-,-,21:19,-,21:49,-,-,22:24,-,22:49,-,23:19,-,23:49
Albion Station (Sunshine North),-,-,5:10,5:28,-,-,5:46,-,-,6:04,-,6:22,-,-,6:40,-,-,6:49,-,-,6:58,-,7:07,-,-,7:16,-,7:22,-,7:28,-,7:34,-,7:40,-,7:46,-,7:52,-,7:58,-,-,8:04,8:10,-,-,8:16,-,8:22,-,8:28,-,-,8:37,-,8:46,-,-,8:55,-,9:04,-,-,-,9:24,-,-,9:42,-,-,10:02,-,-,10:22,-,-,10:42,-,-,11:02,-,-,11:22,-,-,11:42,-,-,12:02,-,-,12:22,-,-,12:42,-,-,13:02,-,-,13:22,-,-,13:42,-,-,14:02,-,-,14:22,-,-,14:42,-,-,15:02,-,-,15:22,-,-,15:42,-,-,16:02,-,-,16:22,-,-,16:39,-,16:42,-,-,-,17:02,-,-,-,17:22,-,-,-,-,17:42,-,-,17:49,-,-,18:02,-,-,-,18:22,-,18:31,-,-,18:42,-,-,-,19:02,-,-,19:22,-,-,19:52,-,-,20:22,-,20:52,-,-,21:22,-,21:52,-,-,22:27,-,22:52,-,23:22,-,23:52
Sunshine Station (Sunshine),-,-,5:12,5:30,-,-,5:48,-,-,6:06,-,6:24,-,-,6:42,-,-,6:51,-,-,7:00,-,7:09,-,-,7:18,-,7:24,-,7:30,-,7:36,-,7:42,-,7:48,-,7:54,-,8:00,-,-,8:06,8:13,-,-,8:19,-,8:25,-,8:31,-,-,8:40,-,8:49,-,-,8:58,-,9:06,-,-,-,9:26,-,-,9:44,-,-,10:04,-,-,10:24,-,-,10:44,-,-,11:04,-,-,11:24,-,-,11:44,-,-,12:04,-,-,12:24,-,-,12:44,-,-,13:04,-,-,13:24,-,-,13:44,-,-,14:04,-,-,14:24,-,-,14:44,-,-,15:04,-,-,15:24,-,-,15:44,-,-,16:04,-,-,16:24,-,-,16:41,-,16:44,-,-,-,17:04,-,-,-,17:24,-,-,-,-,17:44,-,-,17:51,-,-,18:04,-,-,-,18:24,-,18:33,-,-,18:44,-,-,-,19:04,-,-,19:24,-,-,19:54,-,-,20:24,-,20:54,-,-,21:24,-,21:54,-,-,22:29,-,22:54,-,23:24,-,23:54
Tottenham Station (West Footscray),-,-,5:16,5:34,-,-,5:52,-,-,6:10,-,6:28,-,-,6:46,-,-,6:55,-,-,7:04,-,7:13,-,-,|,-,7:28,-,|,-,7:40,-,|,-,7:52,-,|,-,8:04,-,-,|,8:17,-,-,|,-,8:29,-,|,-,-,8:44,-,8:53,-,-,9:02,-,9:10,-,-,-,9:30,-,-,9:48,-,-,10:08,-,-,10:28,-,-,10:48,-,-,11:08,-,-,11:28,-,-,11:48,-,-,12:08,-,-,12:28,-,-,12:48,-,-,13:08,-,-,13:28,-,-,13:48,-,-,14:08,-,-,14:28,-,-,14:48,-,-,15:08,-,-,15:28,-,-,15:48,-,-,16:08,-,-,16:28,-,-,16:45,-,16:48,-,-,-,17:08,-,-,-,17:28,-,-,-,-,17:48,-,-,17:55,-,-,18:08,-,-,-,18:28,-,18:37,-,-,18:48,-,-,-,19:08,-,-,19:28,-,-,19:58,-,-,20:28,-,20:58,-,-,21:28,-,21:58,-,-,22:33,-,22:58,-,23:28,-,23:58
West Footscray Station (West Footscray),-,-,5:18,5:36,-,-,5:54,-,-,6:12,-,6:30,-,-,6:48,-,-,6:57,-,-,7:06,-,7:15,-,-,|,-,7:30,-,|,-,7:42,-,|,-,7:54,-,|,-,8:06,-,-,|,8:19,-,-,|,-,8:31,-,|,-,-,8:46,-,8:55,-,-,9:04,-,9:12,-,-,-,9:32,-,-,9:50,-,-,10:10,-,-,10:30,-,-,10:50,-,-,11:10,-,-,11:30,-,-,11:50,-,-,12:10,-,-,12:30,-,-,12:50,-,-,13:10,-,-,13:30,-,-,13:50,-,-,14:10,-,-,14:30,-,-,14:50,-,-,15:10,-,-,15:30,-,-,15:50,-,-,16:10,-,-,16:30,-,-,16:47,-,16:50,-,-,-,17:10,-,-,-,17:30,-,-,-,-,17:50,-,-,17:57,-,-,18:10,-,-,-,18:30,-,18:39,-,-,18:50,-,-,-,19:10,-,-,19:30,-,-,20:00,-,-,20:30,-,21:00,-,-,21:30,-,22:00,-,-,22:35,-,23:00,-,23:30,-,0:00
