Melbourne Central Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:31,18:39,-,-,-,-,-,-,-,-,-,21:00,-,-,-,-,-,-,-,-,-,-,-,-,-
Parliament Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:33,18:41,-,-,-,-,-,-,-,-,-,21:02,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:36,18:44,-,-,-,-,-,-,-,-,-,21:05,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),7:39,7:47,8:19,8:27,8:59,9:07,9:39,9:47,10:07,10:19,10:27,10:39,10:47,10:59,11:07,11:19,11:27,11:39,11:47,11:59,12:07,12:19,12:27,12:39,12:47,12:59,13:07,13:19,13:27,13:39,13:47,13:59,14:07,14:19,14:27,14:39,14:47,14:59,15:07,15:19,15:27,15:39,15:47,15:59,16:07,16:19,16:27,16:39,16:47,16:59,17:07,17:19,17:27,17:39,17:47,17:59,18:07,18:19,18:27,18:39,18:47,18:59,19:07,19:24,19:37,19:54,20:07,20:24,20:37,20:54,21:07,21:24,21:37,21:54,22:07,22:24,22:37,22:54,23:07,23:24,23:37,23:54,0:07,0:24
Southern Cross Station (Melbourne City),7:42,7:50,8:22,8:30,9:02,9:10,9:42,9:50,10:10,10:22,10:30,10:42,10:50,11:02,11:10,11:22,11:30,11:42,11:50,12:02,12:10,12:22,12:30,12:42,12:50,13:02,13:10,13:22,13:30,13:42,13:50,14:02,14:10,14:22,14:30,14:42,14:50,15:02,15:10,15:22,15:30,15:42,15:50,16:02,16:10,16:22,16:30,16:42,16:50,17:02,17:10,17:22,17:30,17:42,17:50,18:02,18:10,18:22,18:30,18:42,18:50,19:02,19:10,19:27,19:40,19:57,20:10,20:27,20:40,20:57,21:10,21:27,21:40,21:57,22:10,22:27,22:40,22:57,23:10,23:27,23:40,23:57,0:10,0:27
North Melbourne Station (West Melbourne),7:46,7:54,8:26,8:34,9:06,9:14,9:46,9:54,10:14,10:26,10:34,10:46,10:54,11:06,11:14,11:26,11:34,11:46,11:54,12:06,12:14,12:26,12:34,12:46,12:54,13:06,13:14,13:26,13:34,13:46,13:54,14:06,14:14,14:26,14:34,14:46,14:54,15:06,15:14,15:26,15:34,15:46,15:54,16:06,16:14,16:26,16:34,16:46,16:54,17:06,17:14,17:26,17:34,17:46,17:54,18:06,18:14,18:26,18:34,18:46,18:54,19:06,19:14,19:31,19:44,20:01,20:14,20:31,20:44,21:01,21:14,21:31,21:44,22:01,22:14,22:31,22:44,23:01,23:14,23:31,23:44,0:01,0:14,0:31
South Kensington Station (Kensington),|,7:57,|,8:37,|,9:17,|,9:57,10:17,|,10:37,|,10:57,|,11:17,|,11:37,|,11:57,|,12:17,|,12:37,|,12:57,|,13:17,|,13:37,|,13:57,|,14:17,|,14:37,|,14:57,|,15:17,|,15:37,|,15:57,|,16:17,|,16:37,|,16:57,|,17:17,|,17:37,|,17:57,|,18:17,|,18:37,|,18:57,|,19:17,|,19:47,|,20:17,|,20:47,|,21:17,|,21:47,|,22:17,|,22:47,|,23:17,|,23:47,|,0:17,|
Footscray Station (Footscray),7:50,8:00,8:30,8:40,9:10,9:20,9:50,10:00,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,19:20,19:35,19:50,20:05,20:20,20:35,20:50,21:05,21:20,21:35,21:50,22:05,22:20,22:35,22:50,23:05,23:20,23:35,23:50,0:05,0:20,0:35
Seddon Station (Seddon),-,8:02,-,8:42,-,9:22,-,10:02,10:22,-,10:42,-,11:02,-,11:22,-,11:42,-,12:02,-,12:22,-,12:42,-,13:02,-,13:22,-,13:42,-,14:02,-,14:22,-,14:42,-,15:02,-,15:22,-,15:42,-,16:02,-,16:22,-,16:42,-,17:02,-,17:22,-,17:42,-,18:02,-,18:22,-,18:42,-,19:02,-,19:22,-,19:52,-,20:22,-,20:52,-,21:22,-,21:52,-,22:22,-,22:52,-,23:22,-,23:52,-,0:22,-
Yarraville Station (Yarraville),-,8:04,-,8:44,-,9:24,-,10:04,10:24,-,10:44,-,11:04,-,11:24,-,11:44,-,12:04,-,12:24,-,12:44,-,13:04,-,13:24,-,13:44,-,14:04,-,14:24,-,14:44,-,15:04,-,15:24,-,15:44,-,16:04,-,16:24,-,16:44,-,17:04,-,17:24,-,17:44,-,18:04,-,18:24,-,18:44,-,19:04,-,19:24,-,19:54,-,20:24,-,20:54,-,21:24,-,21:54,-,22:24,-,22:54,-,23:24,-,23:54,-,0:24,-
Spotswood Station (Spotswood),-,8:06,-,8:46,-,9:26,-,10:06,10:26,-,10:46,-,11:06,-,11:26,-,11:46,-,12:06,-,12:26,-,12:46,-,13:06,-,13:26,-,13:46,-,14:06,-,14:26,-,14:46,-,15:06,-,15:26,-,15:46,-,16:06,-,16:26,-,16:46,-,17:06,-,17:26,-,17:46,-,18:06,-,18:26,-,18:46,-,19:06,-,19:26,-,19:56,-,20:26,-,20:56,-,21:26,-,21:56,-,22:26,-,22:56,-,23:26,-,23:56,-,0:26,-
Newport Station (Newport),-,8:08,-,8:48,-,9:28,-,10:08,10:28,-,10:48,-,11:08,-,11:28,-,11:48,-,12:08,-,12:28,-,12:48,-,13:08,-,13:28,-,13:48,-,14:08,-,14:28,-,14:48,-,15:08,-,15:28,-,15:48,-,16:08,-,16:28,-,16:48,-,17:08,-,17:28,-,17:48,-,18:08,-,18:28,-,18:48,-,19:08,-,19:27,-,19:57,-,20:27,-,20:57,-,21:27,-,21:57,-,22:27,-,22:57,-,23:27,-,23:57,-,0:27,-
Seaholme Station (Seaholme),-,8:15,-,8:55,-,9:35,-,10:15,10:35,-,10:55,-,11:15,-,11:35,-,11:55,-,12:15,-,12:35,-,12:55,-,13:15,-,13:35,-,13:55,-,14:15,-,14:35,-,14:55,-,15:15,-,15:35,-,15:55,-,16:15,-,16:35,-,16:55,-,17:15,-,17:35,-,17:55,-,18:15,-,18:35,-,18:55,-,19:15,-,19:34,-,20:04,-,20:34,-,21:04,-,21:34,-,22:04,-,22:34,-,23:04,-,23:34,-,0:04,-,0:34,-
