Williamstown Station (Williamstown),-,7:40,-,-,8:20,-,-,9:00,-,-,9:40,-,-,10:20,-,-,10:40,-,-,11:00,-,-,11:20,-,-,11:40,-,-,12:00,-,-,12:20,-,-,12:40,-,-,13:00,-,-,13:20,-,-,13:40,-,-,14:00,-,-,14:20,-,-,14:40,-,-,15:00,-,-,15:20,-,-,15:40,-,-,16:00,-,-,16:20,-,-,16:40,-,-,17:00,-,-,17:20,-,-,17:40,-,-,18:00,-,-,18:20,-,-,18:40,-,-,19:00,-,-,19:20,-,-,19:46,-,-,20:16,-,-,20:46,-,-,21:16,-,-,21:46,-,-,22:16,-,-,22:46,-,-,23:16,-,-,23:46,-,-,0:16
Williamstown Beach Station (Williamstown),-,7:42,-,-,8:22,-,-,9:02,-,-,9:42,-,-,10:22,-,-,10:42,-,-,11:02,-,-,11:22,-,-,11:42,-,-,12:02,-,-,12:22,-,-,12:42,-,-,13:02,-,-,13:22,-,-,13:42,-,-,14:02,-,-,14:22,-,-,14:42,-,-,15:02,-,-,15:22,-,-,15:42,-,-,16:02,-,-,16:22,-,-,16:42,-,-,17:02,-,-,17:22,-,-,17:42,-,-,18:02,-,-,18:22,-,-,18:42,-,-,19:02,-,-,19:22,-,-,19:48,-,-,20:18,-,-,20:48,-,-,21:18,-,-,21:48,-,-,22:18,-,-,22:48,-,-,23:18,-,-,23:48,-,-,0:18
North Williamstown Station (Williamstown),-,7:43,-,-,8:23,-,-,9:03,-,-,9:43,-,-,10:23,-,-,10:43,-,-,11:03,-,-,11:23,-,-,11:43,-,-,12:03,-,-,12:23,-,-,12:43,-,-,13:03,-,-,13:23,-,-,13:43,-,-,14:03,-,-,14:23,-,-,14:43,-,-,15:03,-,-,15:23,-,-,15:43,-,-,16:03,-,-,16:23,-,-,16:43,-,-,17:03,-,-,17:23,-,-,17:43,-,-,18:03,-,-,18:23,-,-,18:43,-,-,19:03,-,-,19:23,-,-,19:49,-,-,20:19,-,-,20:49,-,-,21:19,-,-,21:49,-,-,22:19,-,-,22:49,-,-,23:19,-,-,23:49,-,-,0:19
Newport Station (Newport),-,7:46,7:52,-,8:26,8:32,-,9:06,9:12,-,9:46,9:52,-,10:26,-,10:32,10:46,-,10:52,11:06,-,11:12,11:26,-,11:32,11:46,-,11:52,12:06,-,12:12,12:26,-,12:32,12:46,-,12:52,13:06,-,13:12,13:26,-,13:32,13:46,-,13:52,14:06,-,14:12,14:26,-,14:32,14:46,-,14:52,15:06,-,15:12,15:26,-,15:32,15:46,-,15:52,16:06,-,16:12,16:26,-,16:32,16:46,-,16:52,17:06,-,17:12,17:26,-,17:32,17:46,-,17:52,18:06,-,18:12,18:26,-,18:32,18:46,-,18:52,19:06,-,19:12,19:26,-,19:32,19:52,-,19:59,20:22,-,20:29,20:52,-,20:59,21:22,-,21:29,21:52,-,21:59,22:22,-,22:29,22:52,-,22:59,23:22,-,23:29,23:52,-,23:59,0:22
Spotswood Station (Spotswood),-,-,7:54,-,-,8:34,-,-,9:14,-,-,9:54,-,-,-,10:34,-,-,10:54,-,-,11:14,-,-,11:34,-,-,11:54,-,-,12:14,-,-,12:34,-,-,12:54,-,-,13:14,-,-,13:34,-,-,13:54,-,-,14:14,-,-,14:34,-,-,14:54,-,-,15:14,-,-,15:34,-,-,15:54,-,-,16:14,-,-,16:34,-,-,16:54,-,-,17:14,-,-,17:34,-,-,17:54,-,-,18:14,-,-,18:34,-,-,18:54,-,-,19:14,-,-,19:34,-,-,20:01,-,-,20:31,-,-,21:01,-,-,21:31,-,-,22:01,-,-,22:31,-,-,23:01,-,-,23:31,-,-,0:01,-
Yarraville Station (Yarraville),-,-,7:57,-,-,8:37,-,-,9:17,-,-,9:57,-,-,-,10:37,-,-,10:57,-,-,11:17,-,-,11:37,-,-,11:57,-,-,12:17,-,-,12:37,-,-,12:57,-,-,13:17,-,-,13:37,-,-,13:57,-,-,14:17,-,-,14:37,-,-,14:57,-,-,15:17,-,-,15:37,-,-,15:57,-,-,16:17,-,-,16:37,-,-,16:57,-,-,17:17,-,-,17:37,-,-,17:57,-,-,18:17,-,-,18:37,-,-,18:57,-,-,19:16,-,-,19:36,-,-,20:03,-,-,20:33,-,-,21:03,-,-,21:33,-,-,22:03,-,-,22:33,-,-,23:03,-,-,23:33,-,-,0:03,-
Seddon Station (Seddon),-,-,7:58,-,-,8:38,-,-,9:18,-,-,9:58,-,-,-,10:38,-,-,10:58,-,-,11:18,-,-,11:38,-,-,11:58,-,-,12:18,-,-,12:38,-,-,12:58,-,-,13:18,-,-,13:38,-,-,13:58,-,-,14:18,-,-,14:38,-,-,14:58,-,-,15:18,-,-,15:38,-,-,15:58,-,-,16:18,-,-,16:38,-,-,16:58,-,-,17:18,-,-,17:38,-,-,17:58,-,-,18:18,-,-,18:38,-,-,18:58,-,-,19:17,-,-,19:37,-,-,20:04,-,-,20:34,-,-,21:04,-,-,21:34,-,-,22:04,-,-,22:34,-,-,23:04,-,-,23:34,-,-,0:04,-
Footscray Station (Footscray),7:31,-,8:00,8:11,-,8:40,8:51,-,9:20,9:31,-,10:00,10:11,-,10:31,10:40,-,10:51,11:00,-,11:11,11:20,-,11:31,11:40,-,11:51,12:00,-,12:11,12:20,-,12:31,12:40,-,12:51,13:00,-,13:11,13:20,-,13:31,13:40,-,13:51,14:00,-,14:11,14:20,-,14:31,14:40,-,14:51,15:00,-,15:11,15:20,-,15:31,15:40,-,15:51,16:00,-,16:11,16:20,-,16:31,16:40,-,16:51,17:00,-,17:11,17:20,-,17:31,17:40,-,17:51,18:00,-,18:11,18:20,-,18:31,18:40,-,18:51,19:00,-,19:11,19:19,-,19:31,19:39,-,19:52,20:06,-,20:22,20:36,-,20:52,21:06,-,21:22,21:36,-,21:52,22:06,-,22:22,22:36,-,22:52,23:06,-,23:22,23:36,-,23:52,0:06,-
South Kensington Station (Kensington),|,-,8:03,|,-,8:43,|,-,9:23,|,-,10:03,|,-,|,10:43,-,|,11:03,-,|,11:23,-,|,11:43,-,|,12:03,-,|,12:23,-,|,12:43,-,|,13:03,-,|,13:23,-,|,13:43,-,|,14:03,-,|,14:23,-,|,14:43,-,|,15:03,-,|,15:23,-,|,15:43,-,|,16:03,-,|,16:23,-,|,16:43,-,|,17:03,-,|,17:23,-,|,17:43,-,|,18:03,-,|,18:23,-,|,18:43,-,|,19:03,-,|,19:22,-,|,19:42,-,|,20:09,-,|,20:39,-,|,21:09,-,|,21:39,-,|,22:09,-,|,22:39,-,|,23:09,-,|,23:39,-,|,0:09,-
North Melbourne Station (West Melbourne),7:35,-,8:07,8:15,-,8:47,8:55,-,9:27,9:35,-,10:07,10:15,-,10:35,10:47,-,10:55,11:07,-,11:15,11:27,-,11:35,11:47,-,11:55,12:07,-,12:15,12:27,-,12:35,12:47,-,12:55,13:07,-,13:15,13:27,-,13:35,13:47,-,13:55,14:07,-,14:15,14:27,-,14:35,14:47,-,14:55,15:07,-,15:15,15:27,-,15:35,15:47,-,15:55,16:07,-,16:15,16:27,-,16:35,16:47,-,16:55,17:07,-,17:15,17:27,-,17:35,17:47,-,17:55,18:07,-,18:15,18:27,-,18:35,18:47,-,18:55,19:07,-,19:15,19:26,-,19:35,19:46,-,19:56,20:13,-,20:26,20:43,-,20:56,21:13,-,21:26,21:43,-,21:56,22:13,-,22:26,22:43,-,22:56,23:13,-,23:26,23:43,-,23:56,0:13,-
